#{"t_start": 1731634393.911913, "env_id": "None"}
r,l,t
-76958.0,76959,142.86124
-12896.0,12897,166.003987
-9272.0,9273,183.736927
-62074.0,62075,297.904013
-31650.0,31651,356.798933
-67304.0,67305,480.652708
-46404.0,46405,564.705182
-8876.0,8877,581.891909
-81590.0,81591,730.596812
-36064.0,36065,797.380497
-21750.0,21751,837.780008
-3980.0,3981,845.017343
-524.0,525,845.550836
-9876.0,9877,863.769939
-23750.0,23751,906.392419
-73224.0,73225,1041.490367
-4990.0,4991,1049.740002
-4632.0,4633,1059.248909
-38778.0,38779,1136.489474
-32980.0,32981,1203.491186
-15360.0,15361,1233.640221
-36110.0,36111,1301.967947
-3570.0,3571,1308.826115
-32622.0,32623,1369.205824
-3022.0,3023,1373.906083
-24372.0,24373,1418.946622
-8532.0,8533,1434.244224
-46560.0,46561,1520.834974
-9090.0,9091,1536.692303
-53832.0,53833,1637.367132
-904.0,905,1638.296499
-25744.0,25745,1686.685206
-12388.0,12389,1709.336294
-6430.0,6431,1720.80188
-2228.0,2229,1724.712226
-3432.0,3433,1729.836154
-9068.0,9069,1747.415557
-1946.0,1947,1751.022448
-49608.0,49609,1842.576763
-6368.0,6369,1854.063726
-21140.0,21141,1894.090033
-1182.0,1183,1895.30151
-4322.0,4323,1902.950131
-16490.0,16491,1932.509061
-16438.0,16439,1962.756124
-6778.0,6779,1976.250354
-3340.0,3341,1981.288705
-6068.0,6069,1992.366145
-8592.0,8593,2007.864807
-16500.0,16501,2038.053051
-5366.0,5367,2048.394433
-20346.0,20347,2085.952913
-5272.0,5273,2096.214898
-15852.0,15853,2124.091874
-63872.0,63873,2243.938428
-52640.0,52641,2340.610165
-17784.0,17785,2377.298233
-34066.0,34067,2444.679237
-500.0,501,2445.189282
-11752.0,11753,2467.17032
-24990.0,24991,2513.076025
-29846.0,29847,2567.247095
-3464.0,3465,2574.031756
-50470.0,50471,2667.892512
-7210.0,7211,2680.119925
-8592.0,8593,2695.480873
-8368.0,8369,2710.62038
-17334.0,17335,2743.39996
-1452.0,1453,2746.514553
-36020.0,36021,2811.943619
-48114.0,48115,2901.44129
-30462.0,30463,2958.048922
-386.0,387,2958.443465
-17464.0,17465,2989.813274
-180.0,181,2989.997433
-20756.0,20757,3028.036399
-96270.0,96271,3213.306655
-6948.0,6949,3226.682279
-16856.0,16857,3260.740777
-11104.0,11105,3282.863853
-3496.0,3497,3288.04864
-70316.0,70317,3419.905884
-21072.0,21073,3462.623656
-88666.0,88667,3644.490844
-10202.0,10203,3665.338011
-14288.0,14289,3694.604041
-44280.0,44281,3786.429064
-22906.0,22907,3833.06733
-40048.0,40049,3914.377693
-10336.0,10337,3937.368767
-13036.0,13037,3963.486345
-100001.0,100001,4170.311007
-52896.0,52897,4279.660131
-100001.0,100001,4473.138745
-100001.0,100001,4659.989767
-100001.0,100001,4846.845038
-100001.0,100001,5032.7256
-98908.0,98909,5216.999318
-100001.0,100001,5404.074594
-100001.0,100001,5591.703194
-66118.0,66119,5714.691706
-100001.0,100001,5902.450331
-18366.0,18367,5936.650502
-33628.0,33629,5998.735519
-17180.0,17181,6031.775852
-20466.0,20467,6069.958232
-22502.0,22503,6111.870957
-21590.0,21591,6151.118189
-84708.0,84709,6311.087428
-26490.0,26491,6360.238148
-1724.0,1725,6361.995895
-2928.0,2929,6368.284669
-30408.0,30409,6425.123306
-24296.0,24297,6470.335977
-22956.0,22957,6512.390695
-9890.0,9891,6530.675867
-17644.0,17645,6562.228483
-3854.0,3855,6569.461082
-2884.0,2885,6574.044934
-4894.0,4895,6584.002425
-16780.0,16781,6614.59807
-46916.0,46917,6701.885402
-22122.0,22123,6743.105685
-23378.0,23379,6785.649132
-61966.0,61967,6900.283551
-12324.0,12325,6922.791097
-28326.0,28327,6975.092275
-20020.0,20021,7012.189877
-100001.0,100001,7195.015775
-6040.0,6041,7205.880395
-52422.0,52423,7300.253786
-25622.0,25623,7348.131419
-3232.0,3233,7354.674574
-74526.0,74527,7490.212013
-99832.0,99833,7673.953355
-4244.0,4245,7681.467144
-4254.0,4255,7688.989017
-18400.0,18401,7722.433839
-4572.0,4573,7730.288975
-4958.0,4959,7738.517331
-20274.0,20275,7775.50806
-58224.0,58225,7883.030363
-8480.0,8481,7898.198196
-7726.0,7727,7912.603518
-12598.0,12599,7935.283653
-5938.0,5939,7946.088563
-16868.0,16869,7977.124731
-424.0,425,7977.585333
-16326.0,16327,8010.477485
-15998.0,15999,8042.782459
-100001.0,100001,8244.83097
-56252.0,56253,8346.926247
-53608.0,53609,8443.361163
-236.0,237,8445.213733
-4544.0,4545,8452.966985
-39838.0,39839,8524.196877
-100001.0,100001,8705.724861
-100001.0,100001,8887.187826
-76070.0,76071,9025.647192
-55354.0,55355,9136.756351
-3652.0,3653,9144.362376
-35910.0,35911,9210.683941
-7888.0,7889,9225.155813
-22432.0,22433,9265.867741
