#{"t_start": 1731619121.5295107, "env_id": "None"}
r,l,t
-3826.0,3827,3.782039
-5226.0,5227,8.612612
-7052.0,7053,14.345095
-10020.0,10021,23.010863
-10660.0,10661,32.150965
-2074.0,2075,33.882727
-7902.0,7903,40.662536
-3194.0,3195,43.721724
-3612.0,3613,46.948853
-24762.0,24763,67.985766
-27930.0,27931,91.241323
-498.0,499,92.234106
-4900.0,4901,96.180829
-8664.0,8665,103.408216
-12448.0,12449,113.915995
-7388.0,7389,120.472395
-130.0,131,120.534834
-5682.0,5683,125.486649
-22240.0,22241,144.395035
-968.0,969,144.851246
-866.0,867,145.994592
-5854.0,5855,150.258966
-14664.0,14665,163.261087
-5496.0,5497,167.315504
-21944.0,21945,185.92602
-1272.0,1273,187.317994
-21448.0,21449,205.022827
-1420.0,1421,206.473921
-2566.0,2567,208.406056
-4668.0,4669,212.126766
-2762.0,2763,214.928617
-3424.0,3425,217.332406
-11712.0,11713,227.368613
-1304.0,1305,228.792506
-7592.0,7593,234.578305
-9674.0,9675,242.992012
-6520.0,6521,248.329422
-1362.0,1363,249.722381
-6906.0,6907,255.252575
-3092.0,3093,258.173399
-5112.0,5113,262.111622
-644.0,645,263.133993
-14606.0,14607,275.304545
-11056.0,11057,284.395548
-12016.0,12017,294.64422
-416.0,417,294.840802
-2404.0,2405,296.716929
-2408.0,2409,299.411316
-1602.0,1603,300.184553
-2938.0,2939,303.128355
-2506.0,2507,305.10906
-11970.0,11971,315.324507
-3438.0,3439,318.502591
-210.0,211,318.609191
-298.0,299,318.75253
-442.0,443,318.992121
-6694.0,6695,324.431241
-7312.0,7313,330.94716
-196.0,197,331.040997
-10972.0,10973,340.014345
-600.0,601,341.092615
-8508.0,8509,348.082128
-12340.0,12341,358.42241
-12566.0,12567,368.923677
-4598.0,4599,372.609459
-5582.0,5583,377.467868
-1418.0,1419,378.928602
-5024.0,5025,382.768019
-3198.0,3199,385.79262
-4238.0,4239,389.330072
-2608.0,2609,391.348117
-4818.0,4819,395.106361
-256.0,257,395.22997
-15914.0,15915,408.783869
-468.0,469,409.004614
-8472.0,8473,416.794164
-7018.0,7019,422.375114
-288.0,289,422.508707
-9402.0,9403,430.631262
-7098.0,7099,436.223893
-3260.0,3261,439.247919
-754.0,755,439.596975
-6774.0,6775,444.991781
-2114.0,2115,446.772469
-1162.0,1163,448.069925
-7708.0,7709,454.699268
-3584.0,3585,457.882305
-6770.0,6771,463.290607
-10290.0,10291,471.700256
-10798.0,10799,480.463665
-3508.0,3509,483.591961
-20080.0,20081,500.397644
-4390.0,4391,503.968057
-1998.0,1999,505.648181
-380.0,381,505.828714
-5030.0,5031,509.654177
-5310.0,5311,514.351012
-11390.0,11391,524.000824
-2508.0,2509,525.893574
-1232.0,1233,526.461301
-21242.0,21243,544.262646
-16094.0,16095,557.467944
-2050.0,2051,559.177232
-9874.0,9875,566.708706
-5064.0,5065,571.251143
-15254.0,15255,583.624757
-6278.0,6279,588.755309
-7226.0,7227,595.058939
-4380.0,4381,598.582772
-2836.0,2837,601.506865
-3072.0,3073,603.6866
-776.0,777,604.055351
-3212.0,3213,607.28143
-13110.0,13111,618.201387
-13922.0,13923,630.275398
-21130.0,21131,648.878895
-6728.0,6729,654.159656
-8714.0,8715,661.070529
-8794.0,8795,668.184168
-8264.0,8265,675.000716
-702.0,703,676.08474
-6814.0,6815,681.492148
-512.0,513,681.730944
-522.0,523,682.709777
-21376.0,21377,700.679202
-7316.0,7317,706.912786
-2026.0,2027,708.542536
-2376.0,2377,710.320794
-1958.0,1959,711.927882
-524.0,525,712.168255
-2302.0,2303,713.900816
-4096.0,4097,717.186814
-7922.0,7923,723.635145
-2016.0,2017,725.257943
-16168.0,16169,738.34875
-6308.0,6309,743.398134
-7846.0,7847,749.831643
-4676.0,4677,753.413569
-6948.0,6949,758.7346
-1212.0,1213,759.995779
-488.0,489,760.22296
-12606.0,12607,770.341192
-2268.0,2269,772.09589
-4370.0,4371,776.287386
-28174.0,28175,798.579043
-740.0,741,799.617796
-966.0,967,800.071994
-12442.0,12443,810.139457
-902.0,903,811.255625
-6682.0,6683,816.518612
-4260.0,4261,819.995807
-14800.0,14801,831.896862
-300.0,301,832.035345
-40502.0,40503,865.132807
-21538.0,21539,883.00857
-3264.0,3265,885.231451
-4408.0,4409,888.745033
-28648.0,28649,912.315041
-7206.0,7207,918.599595
-13082.0,13083,929.068079
-40670.0,40671,962.40808
-5438.0,5439,967.09936
-17738.0,17739,981.986775
-6386.0,6387,987.20216
-2246.0,2247,988.961464
-10128.0,10129,997.253562
-17096.0,17097,1011.037168
-2046.0,2047,1012.709312
-1476.0,1477,1014.152516
-12952.0,12953,1024.538845
-10474.0,10475,1033.074515
-26622.0,26623,1055.207348
-10596.0,10597,1063.806229
-8074.0,8075,1070.678349
-1050.0,1051,1071.917122
-26584.0,26585,1094.217141
-8988.0,8989,1101.350378
-48600.0,48601,1141.548269
-2232.0,2233,1143.289835
-36450.0,36451,1172.789826
-50846.0,50847,1215.20474
-60242.0,60243,1265.314039
-2838.0,2839,1267.40081
-12590.0,12591,1278.492648
-21122.0,21123,1295.830171
-15742.0,15743,1309.397707
-7976.0,7977,1316.224234
-12726.0,12727,1326.825016
-2838.0,2839,1328.897625
-33300.0,33301,1356.102243
-12190.0,12191,1366.241648
-25346.0,25347,1387.840008
-24706.0,24707,1408.579352
-20078.0,20079,1425.516325
-11206.0,11207,1434.625488
-4868.0,4869,1438.458449
-6988.0,6989,1444.649705
-1630.0,1631,1446.13924
-4948.0,4949,1449.915057
-17292.0,17293,1464.042617
-17626.0,17627,1478.735894
-7122.0,7123,1484.895054
-26952.0,26953,1506.771779
-22432.0,22433,1525.140621
-17838.0,17839,1539.222005
-9672.0,9673,1547.272823
-47590.0,47591,1586.077002
-10050.0,10051,1594.349252
-1678.0,1679,1595.8823
-10060.0,10061,1604.224686
-36734.0,36735,1634.695221
-384.0,385,1634.872931
-8060.0,8061,1641.513264
-18660.0,18661,1656.914953
-5440.0,5441,1661.689771
-50622.0,50623,1703.87077
-17908.0,17909,1718.119672
-15074.0,15075,1730.666973
-30140.0,30141,1754.011852
-1038.0,1039,1755.207968
-8114.0,8115,1761.619752
-6964.0,6965,1766.848357
-100001.0,100001,1850.961654
-15724.0,15725,1864.818459
-19376.0,19377,1881.044099
-17284.0,17285,1896.151841
-65624.0,65625,1951.327902
-100001.0,100001,2035.560537
-1264.0,1265,2036.152096
-68644.0,68645,2094.004838
-64230.0,64231,2147.572468
-28712.0,28713,2171.524066
-8538.0,8539,2178.591749
-46798.0,46799,2218.005498
-14798.0,14799,2230.277273
-38114.0,38115,2262.347564
-33730.0,33731,2290.310108
-18576.0,18577,2305.8541
-3676.0,3677,2309.128292
-22454.0,22455,2327.911717
-4174.0,4175,2331.35995
-39186.0,39187,2363.975189
-27386.0,27387,2387.652499
-6852.0,6853,2393.241247
-22202.0,22203,2411.986202
-16348.0,16349,2425.721572
-7380.0,7381,2432.237696
-29582.0,29583,2456.626002
-15124.0,15125,2469.089789
-28416.0,28417,2493.082695
-700.0,701,2494.147547
-5350.0,5351,2498.151543
-13824.0,13825,2509.951556
-38550.0,38551,2542.570721
-27472.0,27473,2565.376826
-7328.0,7329,2571.785292
-15234.0,15235,2584.250514
-10484.0,10485,2592.912539
-16318.0,16319,2606.666171
-2728.0,2729,2609.434924
-20356.0,20357,2626.458942
-4158.0,4159,2629.917974
-6130.0,6131,2635.057903
-2580.0,2581,2636.997041
-516.0,517,2637.237251
-10896.0,10897,2646.118799
-11164.0,11165,2655.777944
-17192.0,17193,2669.863052
-10168.0,10169,2678.371164
-13982.0,13983,2690.16466
-5708.0,5709,2695.070073
-11778.0,11779,2705.070009
-15314.0,15315,2717.406079
-7324.0,7325,2723.791805
-904.0,905,2724.212529
-1134.0,1135,2725.478108
-320.0,321,2725.62862
-21566.0,21567,2743.163628
-5614.0,5615,2748.003959
-18104.0,18105,2763.265412
-9404.0,9405,2770.657232
-9552.0,9553,2778.865156
-4262.0,4263,2782.35693
-14674.0,14675,2794.406341
-24338.0,24339,2814.669112
-22236.0,22237,2833.818918
-2846.0,2847,2836.699849
-13678.0,13679,2847.734661
-634.0,635,2848.785424
-11302.0,11303,2857.88096
-2430.0,2431,2859.810982
-19360.0,19361,2876.791839
-1464.0,1465,2877.467748
-3954.0,3955,2880.924714
-18646.0,18647,2896.80411
-8040.0,8041,2903.728168
-2286.0,2287,2905.596816
-7452.0,7453,2912.284186
-1446.0,1447,2913.768764
-5902.0,5903,2919.04499
-7490.0,7491,2925.021015
-674.0,675,2926.161396
-19670.0,19671,2942.637363
-1546.0,1547,2944.126704
-16798.0,16799,2958.430312
-5048.0,5049,2963.291721
-40594.0,40595,2998.332642
-38016.0,38017,3030.013878
-77828.0,77829,3096.084513
-100001.0,100001,3181.224948
-100001.0,100001,3264.857176
-73744.0,73745,3326.297418
-54934.0,54935,3372.804738
-24462.0,24463,3393.561809
-78466.0,78467,3460.075266
-16948.0,16949,3474.275432
-100001.0,100001,3559.515764
-10566.0,10567,3568.223741
-100001.0,100001,3653.094232
-100001.0,100001,3737.430157
-660.0,661,3737.735523
-52446.0,52447,3782.545064
-4348.0,4349,3786.100631
-28686.0,28687,3810.481302
-13428.0,13429,3821.58163
-16714.0,16715,3836.768857
-18370.0,18371,3852.669088
-3456.0,3457,3855.068729
-27548.0,27549,3879.111097
-30240.0,30241,3904.006109
-10780.0,10781,3913.819355
-1586.0,1587,3914.581547
-3506.0,3507,3917.826522
-39878.0,39879,3952.425346
-19970.0,19971,3968.871302
-32864.0,32865,3996.564982
-902.0,903,3997.761973
-57694.0,57695,4046.372241
-71040.0,71041,4106.758911
-67042.0,67043,4163.586015
-20010.0,20011,4180.03983
-15086.0,15087,4193.299817
-43140.0,43141,4230.033291
-4680.0,4681,4233.836666
-14670.0,14671,4246.116121
-18550.0,18551,4261.920803
-8962.0,8963,4270.104512
-3120.0,3121,4272.326162
-2666.0,2667,4274.299929
-362.0,363,4275.28428
-2326.0,2327,4277.163588
-2124.0,2125,4278.88947
-5326.0,5327,4282.949208
-2304.0,2305,4284.774617
-764.0,765,4285.867507
-712.0,713,4286.199357
-2486.0,2487,4288.095771
-5586.0,5587,4292.980966
-1862.0,1863,4294.647667
-3424.0,3425,4297.754419
-3270.0,3271,4300.011939
-1654.0,1655,4301.587095
-17472.0,17473,4316.678687
-3974.0,3975,4320.10252
-21472.0,21473,4337.827402
-14600.0,14601,4350.038959
-27060.0,27061,4372.586931
-2840.0,2841,4375.405186
-11092.0,11093,4384.434968
-1686.0,1687,4385.958605
-5998.0,5999,4391.146533
-4988.0,4989,4395.018685
-4596.0,4597,4399.460562
-3988.0,3989,4402.852929
-5660.0,5661,4407.03151
-6710.0,6711,4413.137413
-2502.0,2503,4415.048317
-10544.0,10545,4423.643815
-15324.0,15325,4436.683139
-14986.0,14987,4449.035735
-364.0,365,4449.205173
-1250.0,1251,4450.532294
-46996.0,46997,4490.483948
-3852.0,3853,4493.089484
-16066.0,16067,4506.785844
-1416.0,1417,4508.183892
-1258.0,1259,4509.604542
-7620.0,7621,4515.45575
-3306.0,3307,4518.586243
-23330.0,23331,4537.898902
-9118.0,9119,4546.034077
-23104.0,23105,4565.276196
-9576.0,9577,4573.462607
-12622.0,12623,4583.917707
-16022.0,16023,4597.541597
-1336.0,1337,4598.17997
-33204.0,33205,4626.761289
-15174.0,15175,4639.131636
-4764.0,4765,4642.828956
-1934.0,1935,4644.515283
-24900.0,24901,4665.28963
-12618.0,12619,4676.46449
-3722.0,3723,4678.92186
-7488.0,7489,4685.431278
-5338.0,5339,4690.084534
-9716.0,9717,4697.526288
-3334.0,3335,4700.50912
-8336.0,8337,4707.358398
-812.0,813,4708.509729
-19794.0,19795,4724.22129
-50112.0,50113,4765.52651
-7642.0,7643,4771.2594
-3708.0,3709,4774.406081
-9100.0,9101,4782.299043
-6380.0,6381,4787.467506
-20636.0,20637,4804.331348
-1988.0,1989,4805.962899
-14678.0,14679,4817.90565
-12232.0,12233,4827.975789
-7212.0,7213,4833.512515
-7440.0,7441,4839.903055
-10830.0,10831,4848.571604
-61698.0,61699,4899.785767
-22872.0,22873,4918.308418
-27068.0,27069,4940.341348
-9472.0,9473,4948.439101
-19718.0,19719,4964.115251
-30838.0,30839,4989.400283
-13198.0,13199,5000.658138
-15170.0,15171,5012.81791
-4390.0,4391,5016.348636
-2080.0,2081,5018.030153
-19822.0,19823,5034.456615
-7562.0,7563,5040.871039
-11926.0,11927,5050.109999
-2748.0,2749,5052.912026
-6126.0,6127,5058.057049
-15436.0,15437,5070.733316
-15886.0,15887,5084.20763
-4104.0,4105,5087.647064
-7506.0,7507,5094.172197
-2886.0,2887,5096.292496
-2214.0,2215,5098.002495
-8886.0,8887,5105.755317
-1528.0,1529,5106.461653
-13042.0,13043,5117.332729
-37496.0,37497,5147.266766
-5698.0,5699,5152.036175
-4546.0,4547,5155.492511
-3500.0,3501,5158.481897
-15700.0,15701,5170.799585
-7316.0,7317,5177.305613
-9752.0,9753,5185.650848
-26564.0,26565,5207.427072
-100001.0,100001,5289.600191
-12290.0,12291,5299.634709
-6234.0,6235,5305.493477
-5734.0,5735,5309.573644
-7668.0,7669,5316.050904
-40528.0,40529,5349.328802
-14068.0,14069,5360.934472
-79100.0,79101,5425.229361
-2706.0,2707,5427.991735
-6054.0,6055,5432.981404
-888.0,889,5433.390479
-2774.0,2775,5435.404543
-17156.0,17157,5449.596571
-6464.0,6465,5454.602115
-24196.0,24197,5474.056757
-26502.0,26503,5495.070842
-84.0,85,5495.110357
-88632.0,88633,5564.997795
-91164.0,91165,5637.363304
-55136.0,55137,5680.310214
-100001.0,100001,5759.958754
-39396.0,39397,5793.071839
-4514.0,4515,5796.674183
-100001.0,100001,5881.065126
-100001.0,100001,5964.748363
-11884.0,11885,5974.799397
-85394.0,85395,6046.394721
-26648.0,26649,6068.779302
-3858.0,3859,6072.181692
-51000.0,51001,6115.27193
-68486.0,68487,6172.273182
-100001.0,100001,6254.468176
-100001.0,100001,6337.363631
-77728.0,77729,6403.943996
-54066.0,54067,6450.057302
-43140.0,43141,6486.962971
-38760.0,38761,6520.246995
-100001.0,100001,6605.232726
-72212.0,72213,6665.658883
-27138.0,27139,6688.088467
-32614.0,32615,6715.80792
-18228.0,18229,6731.650214
-83966.0,83967,6803.202685
-3276.0,3277,6806.325937
-16098.0,16099,6819.932059
-25722.0,25723,6840.877022
-17758.0,17759,6855.97512
-246.0,247,6856.089759
-14884.0,14885,6868.38564
-27860.0,27861,6892.099288
-16884.0,16885,6905.878517
-6846.0,6847,6912.051931
-5682.0,5683,6916.207879
-2976.0,2977,6919.10087
-70652.0,70653,6977.891754
-20398.0,20399,6995.113248
-45820.0,45821,7033.833006
-9036.0,9037,7041.088567
-27772.0,27773,7064.713695
-97324.0,97325,7145.069811
-17798.0,17799,7159.525197
-9598.0,9599,7167.369582
-3802.0,3803,7169.816792
-6888.0,6889,7175.770859
-8052.0,8053,7182.307009
-5352.0,5353,7186.188798
-2350.0,2351,7187.969126
-49010.0,49011,7227.351287
-11060.0,11061,7236.549859
-30074.0,30075,7260.127494
-19560.0,19561,7276.156812
-5580.0,5581,7280.81993
-7956.0,7957,7287.245127
-87096.0,87097,7359.544291
-41662.0,41663,7394.710531
-11690.0,11691,7404.6249
-100001.0,100001,7487.368704
-12674.0,12675,7497.575821
-100001.0,100001,7580.692528
-37972.0,37973,7612.699024
-48742.0,48743,7652.396243
-962.0,963,7653.554925
-5802.0,5803,7658.408876
-42820.0,42821,7693.847529
-594.0,595,7694.126822
-69638.0,69639,7751.851677
-53718.0,53719,7795.95513
-264.0,265,7796.091972
-57030.0,57031,7843.436891
-100001.0,100001,7925.488487
-31890.0,31891,7950.802027
-65856.0,65857,8003.687409
-100001.0,100001,8083.731953
-21188.0,21189,8101.57265
-100001.0,100001,8183.32716
-39200.0,39201,8214.714498
-40164.0,40165,8248.352389
-2882.0,2883,8251.364741
-91342.0,91343,8330.154397
-5210.0,5211,8335.217608
-48672.0,48673,8377.416538
-25032.0,25033,8398.433778
-2210.0,2211,8400.242089
-9114.0,9115,8407.743263
-79654.0,79655,8476.000525
-55358.0,55359,8523.014319
-21016.0,21017,8541.318144
-17980.0,17981,8555.904531
-6872.0,6873,8562.217675
-65124.0,65125,8617.284097
-100001.0,100001,8700.327825
-14152.0,14153,8712.170887
-100001.0,100001,8796.029099
-34350.0,34351,8826.11396
-17110.0,17111,8840.557318
-3740.0,3741,8843.773863
-10440.0,10441,8852.748133
-1104.0,1105,8854.059391
-61040.0,61041,8907.094096
-3790.0,3791,8909.704717
-8874.0,8875,8917.843125
-45520.0,45521,8956.941762
-4188.0,4189,8960.519986
-14030.0,14031,8972.710155
-5914.0,5915,8977.867737
-34054.0,34055,9006.563063
-21716.0,21717,9025.325219
-14940.0,14941,9037.849215
-45838.0,45839,9077.48952
-47350.0,47351,9117.574865
-842.0,843,9117.96499
-13640.0,13641,9129.739022
-28866.0,28867,9154.286601
-1530.0,1531,9155.824518
-194.0,195,9155.914426
-2056.0,2057,9157.652111
-23570.0,23571,9177.291771
-17182.0,17183,9192.355268
-40772.0,40773,9226.966123
-24950.0,24951,9248.211433
-4430.0,4431,9251.865297
-18680.0,18681,9267.773108
-5732.0,5733,9272.818433
-1870.0,1871,9274.483281
-12782.0,12783,9285.178607
-51560.0,51561,9328.924245
-33264.0,33265,9356.958378
-22704.0,22705,9377.085664
-22536.0,22537,9396.233173
-19836.0,19837,9412.476686
-14268.0,14269,9424.644282
-6504.0,6505,9430.023151
-8138.0,8139,9437.095608
-5154.0,5155,9441.926143
-31394.0,31395,9468.518602
-4386.0,4387,9472.180735
-538.0,539,9473.256727
-22984.0,22985,9492.788077
-6498.0,6499,9498.236394
-11740.0,11741,9508.602025
-8228.0,8229,9515.682807
-68640.0,68641,9574.213294
-1398.0,1399,9575.681669
-26068.0,26069,9598.259569
-7638.0,7639,9604.20001
-752.0,753,9605.363784
-8758.0,8759,9612.578638
-38272.0,38273,9645.501012
-5988.0,5989,9650.704436
-37292.0,37293,9682.243981
-3520.0,3521,9685.443709
-14356.0,14357,9697.572572
-1004.0,1005,9698.042499
-80186.0,80187,9766.698106
-316.0,317,9766.843672
-23372.0,23373,9787.545508
-4690.0,4691,9791.30115
-1724.0,1725,9792.950857
-3078.0,3079,9795.267732
-27236.0,27237,9819.073029
-52316.0,52317,9863.614103
-28078.0,28079,9887.868988
-22412.0,22413,9906.937722
-19978.0,19979,9924.231528
-15000.0,15001,9936.800623
-1598.0,1599,9938.403503
-9550.0,9551,9946.086657
-5736.0,5737,9951.14272
-16960.0,16961,9966.262458
-11066.0,11067,9975.336349
-10400.0,10401,9984.095187
-4840.0,4841,9987.944847
-16766.0,16767,10002.862969
-14156.0,14157,10015.043752
-16608.0,16609,10029.221011
-36806.0,36807,10060.739644
-13930.0,13931,10071.914071
-13836.0,13837,10083.873006
-13448.0,13449,10095.652919
-28612.0,28613,10119.881819
-47708.0,47709,10160.14989
-22118.0,22119,10179.025246
-18400.0,18401,10194.574708
-25282.0,25283,10215.746485
-19974.0,19975,10232.852753
-2476.0,2477,10234.791721
-2490.0,2491,10236.701044
-46054.0,46055,10276.222193
-52688.0,52689,10321.432594
-50678.0,50679,10363.930255
-5884.0,5885,10369.143693
-7078.0,7079,10375.720372
-100001.0,100001,10460.256346
-100001.0,100001,10546.308033
-7216.0,7217,10552.749316
-926.0,927,10553.194783
-23658.0,23659,10573.718084
-26090.0,26091,10595.900784
-26752.0,26753,10617.893189
-63000.0,63001,10670.273823
-6284.0,6285,10675.647508
-218.0,219,10676.527808
-6190.0,6191,10681.842102
-29142.0,29143,10707.066031
-2752.0,2753,10709.245115
-13404.0,13405,10721.449583
-5860.0,5861,10726.634034
-6312.0,6313,10732.014044
-11988.0,11989,10741.871361
-14022.0,14023,10754.430938
-4520.0,4521,10759.0462
-32750.0,32751,10787.980004
-17886.0,17887,10803.100971
-8698.0,8699,10810.471712
-7070.0,7071,10817.163949
-1904.0,1905,10819.048186
-12554.0,12555,10830.36639
-16852.0,16853,10845.013822
-9738.0,9739,10853.750149
-17268.0,17269,10868.423448
-1464.0,1465,10869.912943
-33376.0,33377,10898.93281
-33958.0,33959,10928.162752
-13262.0,13263,10939.053928
-11018.0,11019,10948.682386
-7748.0,7749,10955.336689
-19462.0,19463,10971.29761
-5530.0,5531,10976.211766
-82000.0,82001,11044.614317
-9694.0,9695,11052.926581
-516.0,517,11053.167891
-5006.0,5007,11056.986567
-40996.0,40997,11091.191191
-39380.0,39381,11124.701072
-7080.0,7081,11130.29645
-10576.0,10577,11139.01223
-87522.0,87523,11212.217218
-55596.0,55597,11258.328593
-21016.0,21017,11275.705568
-7506.0,7507,11282.231105
-86744.0,86745,11353.683192
-5250.0,5251,11358.341088
-8654.0,8655,11365.291799
-3338.0,3339,11368.321171
-722.0,723,11368.658998
-1184.0,1185,11369.942776
-2262.0,2263,11371.725586
-2306.0,2307,11373.542745
-9198.0,9199,11380.729292
-17690.0,17691,11395.640292
-47488.0,47489,11434.607314
-17422.0,17423,11449.397012
-97490.0,97491,11530.156649
-3822.0,3823,11533.449832
-1480.0,1481,11534.877617
-14562.0,14563,11546.932818
-732.0,733,11547.27427
-26102.0,26103,11569.225133
-316.0,317,11569.372777
-35470.0,35471,11599.662847
-6740.0,6741,11605.102081
-26620.0,26621,11627.595657
-20788.0,20789,11645.085896
-24974.0,24975,11666.038952
-4150.0,4151,11669.55314
-49000.0,49001,11711.019165
-8242.0,8243,11717.965343
-9550.0,9551,11726.382953
-39780.0,39781,11759.727691
-46624.0,46625,11799.658037
-53600.0,53601,11845.624136
-100001.0,100001,11932.361091
-776.0,777,11932.717062
-9900.0,9901,11941.296219
-19078.0,19079,11958.426033
-3056.0,3057,11960.668517
-58.0,59,11960.695825
-22800.0,22801,11980.105922
-648.0,649,11981.235832
-24906.0,24907,12002.360788
-17744.0,17745,12016.83058
-93294.0,93295,12095.807531
-7948.0,7949,12102.725609
-11426.0,11427,12112.070679
-20120.0,20121,12129.606327
-21804.0,21805,12148.319651
-8036.0,8037,12155.221281
-32900.0,32901,12182.952562
-20342.0,20343,12200.17311
-9530.0,9531,12208.46215
-16876.0,16877,12222.703883
-7970.0,7971,12229.526584
-19246.0,19247,12245.375062
-13624.0,13625,12257.068293
-11608.0,11609,12266.282122
-1652.0,1653,12267.821527
-3506.0,3507,12270.96749
-20516.0,20517,12288.05434
-2182.0,2183,12289.795705
-22298.0,22299,12308.677648
-100001.0,100001,12394.776558
-3250.0,3251,12397.192107
-13234.0,13235,12409.354096
-946.0,947,12409.802816
-14194.0,14195,12422.486631
-21034.0,21035,12441.006739
-28594.0,28595,12466.660939
-2784.0,2785,12469.645195
-3232.0,3233,12472.070765
-10558.0,10559,12481.37782
-47750.0,47751,12524.474925
-53070.0,53071,12571.784312
-1370.0,1371,12572.439715
-18970.0,18971,12589.579618
-4990.0,4991,12593.584968
-17586.0,17587,12609.138306
-1800.0,1801,12610.788035
-17120.0,17121,12625.370884
-2776.0,2777,12627.574295
-16916.0,16917,12642.181532
-2014.0,2015,12643.913622
-7572.0,7573,12650.750427
-5820.0,5821,12655.915
-3312.0,3313,12659.069435
-13852.0,13853,12670.49698
-34140.0,34141,12700.074939
-7936.0,7937,12707.03176
-5778.0,5779,12712.190346
-260.0,261,12712.314392
-9996.0,9997,12721.124144
-86444.0,86445,12794.870457
-812.0,813,12795.247941
-52956.0,52957,12839.907988
-3450.0,3451,12843.043016
-9720.0,9721,12851.400204
-9162.0,9163,12858.762745
-25544.0,25545,12880.651764
-9146.0,9147,12888.0362
-274.0,275,12888.164384
-3608.0,3609,12891.362128
-2018.0,2019,12893.07935
-3188.0,3189,12896.081517
-608.0,609,12896.364612
-3096.0,3097,12898.581703
-10562.0,10563,12907.231239
-3080.0,3081,12910.21452
-12710.0,12711,12920.64885
-8400.0,8401,12927.554921
-1808.0,1809,12929.156767
-35272.0,35273,12958.358347
-4400.0,4401,12962.663164
-2442.0,2443,12964.553199
-14918.0,14919,12976.693958
-5312.0,5313,12981.420458
-23216.0,23217,13000.504508
-3520.0,3521,13003.623829
-20462.0,20463,13020.692838
-4512.0,4513,13024.375217
-5168.0,5169,13028.479018
-35582.0,35583,13059.657859
-18252.0,18253,13075.547214
-3470.0,3471,13077.976308
-4546.0,4547,13082.528042
-1314.0,1315,13083.154353
-2906.0,2907,13086.144847
-12920.0,12921,13096.996423
-5118.0,5119,13101.050962
-17246.0,17247,13116.288899
-484.0,485,13116.534326
-11244.0,11245,13126.604008
-4172.0,4173,13130.143409
-1600.0,1601,13130.913003
-1192.0,1193,13132.272578
-860.0,861,13132.672206
-30398.0,30399,13158.743631
-17506.0,17507,13173.944229
-18328.0,18329,13189.405783
-20558.0,20559,13207.030128
-462.0,463,13207.246243
-15378.0,15379,13220.705098
-16196.0,16197,13233.756433
-45486.0,45487,13272.768121
-904.0,905,13273.190289
-4558.0,4559,13276.873926
-5210.0,5211,13281.671527
-1798.0,1799,13283.303228
-3484.0,3485,13285.685516
-16510.0,16511,13300.275939
-650.0,651,13300.580265
-14656.0,14657,13312.604564
-3048.0,3049,13315.538761
-5366.0,5367,13319.555228
-3198.0,3199,13322.600663
-3458.0,3459,13324.976811
-1830.0,1831,13326.592507
-17594.0,17595,13341.615077
-42164.0,42165,13376.326903
-9352.0,9353,13384.437405
-1812.0,1813,13386.049953
-23096.0,23097,13405.099792
-1548.0,1549,13406.591533
-4980.0,4981,13410.506147
-11442.0,11443,13420.400705
-4924.0,4925,13424.199472
-2764.0,2765,13427.002985
-6956.0,6957,13432.490918
-2048.0,2049,13434.203475
-7746.0,7747,13441.070025
-20636.0,20637,13458.603135
-6518.0,6519,13463.994653
-15968.0,15969,13477.574974
-4362.0,4363,13481.130728
-4436.0,4437,13484.733259
-3526.0,3527,13487.868638
-614.0,615,13488.157515
-21560.0,21561,13506.453145
-772.0,773,13506.815491
-8364.0,8365,13513.781204
-12394.0,12395,13524.184642
-9142.0,9143,13532.271484
