#{"t_start": 1731618199.1057763, "env_id": "None"}
r,l,t
-170.0,171,1.374944
-1972.0,1973,3.122712
-40180.0,40181,38.110623
-100001.0,100001,124.058757
-73312.0,73313,187.077744
-40864.0,40865,222.188067
-10076.0,10077,230.794539
-21050.0,21051,248.554351
-20166.0,20167,266.54904
-2704.0,2705,268.634597
-858.0,859,269.795454
-13856.0,13857,281.26383
-9794.0,9795,289.816189
-29222.0,29223,314.634395
-21630.0,21631,333.466856
-3286.0,3287,336.564261
-4820.0,4821,340.428573
-12168.0,12169,350.939229
-25742.0,25743,372.809078
-6214.0,6215,378.022679
-44874.0,44875,416.565114
-208.0,209,416.667117
-4694.0,4695,421.293334
-15108.0,15109,434.117737
-32084.0,32085,462.338608
-230.0,231,462.45192
-2716.0,2717,464.506668
-17008.0,17009,479.543659
-2416.0,2417,481.470719
-5724.0,5725,485.723924
-34910.0,34911,516.645465
-5378.0,5379,520.938018
-5596.0,5597,525.995953
-17374.0,17375,540.423489
-9838.0,9839,548.93724
-16306.0,16307,562.778589
-13138.0,13139,574.416255
-4154.0,4155,577.963144
-3544.0,3545,580.421177
-326.0,327,580.580063
-5682.0,5683,585.57364
-12108.0,12109,596.084563
-5586.0,5587,601.057083
-28902.0,28903,625.921087
-76306.0,76307,691.477874
-10306.0,10307,700.289064
-5564.0,5565,705.356534
-100001.0,100001,792.789733
-36046.0,36047,823.836419
-48410.0,48411,865.947774
-2476.0,2477,867.91222
-29314.0,29315,894.146565
-5440.0,5441,898.362934
-12960.0,12961,910.236201
-2182.0,2183,912.063334
-5870.0,5871,917.434191
-928.0,929,917.882306
-2202.0,2203,919.692872
-2410.0,2411,921.587876
-41666.0,41667,957.671469
-8182.0,8183,964.586051
-13302.0,13303,975.495759
-7536.0,7537,982.238933
-1990.0,1991,983.944536
-12958.0,12959,994.737985
-4986.0,4987,998.645568
-1238.0,1239,1000.002955
-5380.0,5381,1004.825808
-4132.0,4133,1008.334597
-172.0,173,1008.418457
-12596.0,12597,1019.096883
-6222.0,6223,1024.437659
-9368.0,9369,1032.704563
-4068.0,4069,1036.15262
-9666.0,9667,1043.804786
-22208.0,22209,1063.073187
-20632.0,20633,1080.87469
-80782.0,80783,1150.370538
-20874.0,20875,1168.123327
-40102.0,40103,1202.291025
-72894.0,72895,1263.971177
-39090.0,39091,1296.725745
-7668.0,7669,1303.291656
