#{"t_start": 1732680967.3404577, "env_id": "None"}
r,l,t
-1060.0,1061,2.559817
-452.0,453,3.017388
-4752.0,4753,12.670669
-100001.0,100001,194.995489
-11120.0,11121,216.166244
-11328.0,11329,235.882309
-21738.0,21739,276.295424
-32040.0,32041,335.562448
-20432.0,20433,372.931978
-11696.0,11697,392.991847
-2802.0,2803,399.007216
-10132.0,10133,417.450544
-7120.0,7121,429.468622
-5220.0,5221,439.555565
-10350.0,10351,458.231619
-11608.0,11609,478.201465
-906.0,907,480.709471
-1940.0,1941,484.265568
-6992.0,6993,496.153184
-6176.0,6177,507.211723
-16228.0,16229,536.899442
-10946.0,10947,556.18867
-2594.0,2595,561.989072
-11270.0,11271,581.608355
-30738.0,30739,637.848741
-5654.0,5655,648.382997
-10466.0,10467,667.180729
-4652.0,4653,675.094765
-138.0,139,675.236745
-2716.0,2717,681.173166
-1068.0,1069,682.2609
-3812.0,3813,689.312953
-28050.0,28051,741.118057
-1828.0,1829,744.565266
-22112.0,22113,785.293353
-9034.0,9035,800.976322
-17782.0,17783,833.934328
-4242.0,4243,841.428391
-4930.0,4931,849.596155
-3984.0,3985,856.802444
-5732.0,5733,867.369245
-12656.0,12657,889.910699
-6118.0,6119,900.802448
-1036.0,1037,903.407822
-21530.0,21531,941.186207
-470.0,471,941.656748
-176.0,177,941.833332
-11622.0,11623,963.125082
-4414.0,4415,970.660913
-92.0,93,970.7597
-7268.0,7269,984.378978
-14670.0,14671,1010.332568
-8260.0,8261,1024.907495
-104.0,105,1025.012061
-3674.0,3675,1031.763435
-9018.0,9019,1047.052729
-4308.0,4309,1054.424823
-2802.0,2803,1060.304697
-1836.0,1837,1063.669659
-5560.0,5561,1072.283137
-148.0,149,1072.43068
-8798.0,8799,1089.021717
-33472.0,33473,1148.278883
-492.0,493,1148.770926
-268.0,269,1149.036381
-9120.0,9121,1166.095946
-50828.0,50829,1257.485524
-3778.0,3779,1264.347786
-9948.0,9949,1280.540384
-3236.0,3237,1286.859299
-1028.0,1029,1287.879187
-2588.0,2589,1293.549925
-19664.0,19665,1327.629827
-16446.0,16447,1356.867667
-6662.0,6663,1369.823858
-1808.0,1809,1373.174177
-13218.0,13219,1395.947878
-7334.0,7335,1409.610328
-13762.0,13763,1432.9818
-23632.0,23633,1476.083013
-14130.0,14131,1501.516644
-656.0,657,1502.173684
-60120.0,60121,1609.449211
-14316.0,14317,1635.048631
-4950.0,4951,1644.71024
-14242.0,14243,1670.236149
-4338.0,4339,1677.696919
-36968.0,36969,1744.12477
-11374.0,11375,1763.520835
