#{"t_start": 1731619721.4241593, "env_id": "None"}
r,l,t
-926.0,927,1.522048
-12672.0,12673,11.546332
-8982.0,8983,19.158111
-5930.0,5931,23.29668
-1392.0,1393,24.623416
-32754.0,32755,50.891775
-24448.0,24449,70.548792
-6032.0,6033,75.415988
-64744.0,64745,127.69349
-26658.0,26659,149.130597
-238.0,239,149.243123
-866.0,867,149.650573
-2038.0,2039,151.298452
-6736.0,6737,156.520748
-3434.0,3435,159.494578
-4344.0,4345,162.913617
-2564.0,2565,164.807826
-5458.0,5459,169.436624
-11326.0,11327,178.875374
-3564.0,3565,181.238238
-542.0,543,182.178555
-9734.0,9735,189.505959
-1432.0,1433,190.871165
-346.0,347,191.034462
-2946.0,2947,193.789552
-1740.0,1741,195.293848
-12832.0,12833,205.439173
-4890.0,4891,209.118728
-9650.0,9651,217.096684
-1206.0,1207,218.347193
-13362.0,13363,228.692445
-13416.0,13417,239.719012
-4540.0,4541,243.222468
-1458.0,1459,244.588039
-3454.0,3455,246.886434
-7226.0,7227,252.98253
-1938.0,1939,254.575797
-3306.0,3307,256.821985
-5030.0,5031,261.220309
-2456.0,2457,263.052829
-12536.0,12537,273.026927
-9372.0,9373,280.808021
-2816.0,2817,282.810145
-1024.0,1025,283.960416
-1362.0,1363,284.606363
-2218.0,2219,286.325368
-2300.0,2301,288.080705
-4306.0,4307,292.140904
-576.0,577,292.413791
-17426.0,17427,306.037488
-6070.0,6071,310.928508
-834.0,835,311.989756
-20220.0,20221,328.314764
-8370.0,8371,334.96171
-3020.0,3021,337.064075
-7886.0,7887,343.486649
-10826.0,10827,351.9949
-11654.0,11655,361.550704
-2918.0,2919,363.602753
-5580.0,5581,368.262595
-112.0,113,368.315996
-6124.0,6125,373.232604
-696.0,697,374.234569
-760.0,761,374.59378
-19906.0,19907,390.769567
-8826.0,8827,397.642086
-192.0,193,397.733161
-3048.0,3049,399.848526
-354.0,355,400.688707
-2818.0,2819,402.696448
-2750.0,2751,404.67659
-716.0,717,405.696827
-252.0,253,405.816111
-1994.0,1995,407.435854
-5388.0,5389,411.327235
-1424.0,1425,412.675082
-1864.0,1865,414.236133
-1092.0,1093,415.427835
-26686.0,26687,436.853601
-19820.0,19821,452.320112
-8858.0,8859,459.895146
-2060.0,2061,461.540883
-17866.0,17867,475.404451
-13974.0,13975,486.76216
-16416.0,16417,499.930771
-6312.0,6313,504.946119
-1766.0,1767,506.460885
-2810.0,2811,509.137114
-2532.0,2533,511.006684
-5742.0,5743,515.759373
-3572.0,3573,518.125352
-6650.0,6651,523.976892
-8638.0,8639,530.775852
-14190.0,14191,542.21313
-25750.0,25751,562.490192
