#{"t_start": 1731599135.0820968, "env_id": "None"}
r,l,t
-3818.0,3819,5.067562
-8662.0,8663,13.976295
-2452.0,2453,16.348188
-6890.0,6891,22.133403
-7350.0,7351,29.27928
-298.0,299,29.423317
-480.0,481,29.653803
-2364.0,2365,31.558203
-298.0,299,31.70428
-3216.0,3217,35.819405
-13842.0,13843,49.910594
-1192.0,1193,50.475459
-3952.0,3953,53.934101
-2144.0,2145,56.183442
-1594.0,1595,58.278237
-1372.0,1373,60.257158
-4650.0,4651,65.36619
-3660.0,3661,69.691976
-2824.0,2825,72.583557
-1984.0,1985,74.844291
-1170.0,1171,76.685522
-1050.0,1051,77.369991
-1946.0,1947,79.667631
-2640.0,2641,81.705334
-4430.0,4431,86.065043
-4884.0,4885,89.855662
-184.0,185,89.942948
-1362.0,1363,91.391878
-5776.0,5777,96.540544
-16988.0,16989,111.016772
-5068.0,5069,114.992869
-464.0,465,115.972843
-5282.0,5283,120.029954
-2432.0,2433,121.963456
-3270.0,3271,125.041042
-1174.0,1175,126.353548
-394.0,395,126.540453
-11874.0,11875,137.306417
-732.0,733,137.655478
-1988.0,1989,139.4381
-1258.0,1259,140.039346
-148.0,149,140.894734
-70.0,71,140.929087
-516.0,517,141.178951
-2256.0,2257,143.113077
-3442.0,3443,146.43955
-252.0,253,146.567904
-470.0,471,146.806074
-1742.0,1743,148.993381
-2480.0,2481,151.466664
-802.0,803,151.870435
-4704.0,4705,158.158882
-468.0,469,158.401594
-1370.0,1371,159.99139
-1678.0,1679,160.80143
-1962.0,1963,162.529955
-650.0,651,163.702484
-2052.0,2053,165.492005
-1216.0,1217,166.076657
-2920.0,2921,169.169304
-5686.0,5687,175.713202
-1260.0,1261,176.331762
-278.0,279,176.466414
-44.0,45,176.488479
-1254.0,1255,177.877581
-1374.0,1375,179.348256
-5270.0,5271,183.515849
-1102.0,1103,184.834295
-2566.0,2567,186.906859
-1010.0,1011,187.397673
-1114.0,1115,188.720446
-92.0,93,188.765561
-8304.0,8305,195.905875
-5434.0,5435,201.311615
-5190.0,5191,206.381028
-1602.0,1603,208.462395
-1894.0,1895,210.180623
-1968.0,1969,211.993645
-5956.0,5957,217.577574
-1360.0,1361,219.123989
-7688.0,7689,226.231085
-650.0,651,227.335274
-4848.0,4849,231.358898
-3718.0,3719,234.820803
-3068.0,3069,237.076173
-16286.0,16287,250.7696
-14466.0,14467,263.931447
-852.0,853,265.142351
-2422.0,2423,267.696358
-70.0,71,267.73335
