#{"t_start": 1731447219.0750213, "env_id": "None"}
r,l,t
-7944.0,7945,6.750726
-4532.0,4533,10.863304
-94.0,95,10.907703
-1998.0,1999,12.498992
-304.0,305,12.641195
-6102.0,6103,17.512296
-3734.0,3735,20.586499
-2176.0,2177,22.268587
-180.0,181,22.352246
-4020.0,4021,25.536357
-5150.0,5151,29.250846
-632.0,633,30.218433
-12182.0,12183,39.175752
-2746.0,2747,41.799028
-1272.0,1273,42.391918
-250.0,251,43.17843
-1216.0,1217,43.740504
-558.0,559,43.998678
-1972.0,1973,45.581097
-452.0,453,46.464613
-6400.0,6401,51.45437
-1732.0,1733,52.918199
-2538.0,2539,54.763387
-2026.0,2027,57.339459
-4644.0,4645,61.570098
-2742.0,2743,63.479172
-5728.0,5729,68.06047
-1190.0,1191,69.265556
-1748.0,1749,70.722644
-3544.0,3545,73.074153
-2820.0,2821,75.687374
-1370.0,1371,76.325363
-5418.0,5419,80.821714
-4870.0,4871,84.442238
-2198.0,2199,86.765217
-3064.0,3065,88.844907
-7508.0,7509,94.907539
-4712.0,4713,98.366054
-1778.0,1779,99.829677
-2418.0,2419,101.587852
-14806.0,14807,112.95066
-1106.0,1107,114.109009
-1250.0,1251,114.685865
-1534.0,1535,116.041077
-46.0,47,116.062978
-992.0,993,117.171629
-2772.0,2773,119.10353
-7050.0,7051,124.305621
-7634.0,7635,130.515949
-9392.0,9393,138.156023
-3354.0,3355,140.516189
-4162.0,4163,143.851791
-11632.0,11633,153.493241
-10654.0,10655,161.826242
-1090.0,1091,163.019707
-3736.0,3737,166.120965
-23530.0,23531,184.675196
-4142.0,4143,187.958039
-1316.0,1317,189.253976
-5552.0,5553,193.905679
-320.0,321,194.054937
-2070.0,2071,195.697439
-44.0,45,195.718317
-13740.0,13741,206.156193
-2574.0,2575,208.875427
-1010.0,1011,209.349773
-3776.0,3777,212.453161
-8684.0,8685,219.198174
-7296.0,7297,225.331321
-6496.0,6497,230.360198
-15678.0,15679,243.107908
-4006.0,4007,246.389541
-5958.0,5959,251.246462
-2242.0,2243,252.969115
-2904.0,2905,254.99851
-6020.0,6021,259.816787
-334.0,335,259.970036
-260.0,261,260.088974
-542.0,543,261.019454
-6604.0,6605,266.095726
-554.0,555,266.35014
-278.0,279,266.477825
-2528.0,2529,268.318143
-26336.0,26337,289.224431
-10142.0,10143,297.24662
-646.0,647,298.221257
-5398.0,5399,302.038063
-7616.0,7617,308.244763
-8380.0,8381,314.860354
-7198.0,7199,320.860627
-4506.0,4507,324.270316
-1786.0,1787,325.771508
-6766.0,6767,330.895954
-4930.0,4931,334.474031
-3336.0,3337,337.342014
-266.0,267,337.463566
-2008.0,2009,339.052887
-436.0,437,339.251953
-4478.0,4479,342.648824
-39348.0,39349,374.250265
-4862.0,4863,377.87962
-10192.0,10193,385.97106
-1286.0,1287,387.237932
-1706.0,1707,388.018828
-3572.0,3573,391.004711
-5812.0,5813,395.695816
-3282.0,3283,398.524947
-256.0,257,398.641537
-494.0,495,398.865453
-5878.0,5879,403.543234
-2052.0,2053,405.143218
-752.0,753,405.483867
-10936.0,10937,414.499543
-7758.0,7759,420.071061
-1144.0,1145,421.26528
-638.0,639,421.557348
-9998.0,9999,429.459559
-14826.0,14827,440.963789
-8148.0,8149,447.67479
-6148.0,6149,452.515787
-8062.0,8063,458.883814
-988.0,989,460.016696
-5984.0,5985,464.764981
-3932.0,3933,467.885963
-874.0,875,468.282155
-2506.0,2507,470.092639
-1592.0,1593,471.485587
-490.0,491,471.708558
-386.0,387,471.884558
-2508.0,2509,474.363663
-4250.0,4251,477.65967
-3588.0,3589,480.631895
-2394.0,2395,482.39333
-8198.0,8199,488.815247
-6380.0,6381,493.716408
-718.0,719,494.042597
-980.0,981,495.153564
-2904.0,2905,497.135895
-7204.0,7205,503.105117
-316.0,317,503.249182
-2948.0,2949,505.276971
-942.0,943,506.399004
-13616.0,13617,516.766262
-15376.0,15377,529.163751
-2996.0,2997,531.184036
-114.0,115,531.236
-3006.0,3007,533.924257
-3338.0,3339,536.109444
-7790.0,7791,542.337678
-4794.0,4795,546.544371
-3808.0,3809,548.958471
-4104.0,4105,552.171168
-2984.0,2985,554.868017
-3968.0,3969,558.035749
-1656.0,1657,559.451596
-494.0,495,559.675942
-6092.0,6093,564.43883
-2284.0,2285,566.139208
-4148.0,4149,569.357969
-156.0,157,569.428923
-8700.0,8701,576.139977
-12806.0,12807,586.708566
-1190.0,1191,587.247494
-3962.0,3963,590.406247
-5674.0,5675,594.997017
-3416.0,3417,597.894914
-6838.0,6839,602.999477
-4060.0,4061,606.171541
-230.0,231,606.27577
-412.0,413,606.462308
-2218.0,2219,608.150891
-852.0,853,609.224066
-3804.0,3805,612.299489
-15046.0,15047,623.990831
-1834.0,1835,625.508827
-3460.0,3461,627.751296
-5340.0,5341,632.188006
-11352.0,11353,641.369595
-732.0,733,641.708953
-8906.0,8907,648.430977
-1176.0,1177,649.619122
-982.0,983,650.073358
-650.0,651,651.033028
-7228.0,7229,656.341514
-6116.0,6117,661.122397
-6556.0,6557,666.065228
-3010.0,3011,668.725264
-5876.0,5877,673.332679
-3344.0,3345,675.501431
-4102.0,4103,678.684398
-1494.0,1495,680.024876
-2504.0,2505,681.818673
-964.0,965,682.910883
-1336.0,1337,683.522148
-808.0,809,684.541513
-298.0,299,684.677033
-3742.0,3743,687.67128
-1766.0,1767,689.115439
-1176.0,1177,689.647392
-3664.0,3665,692.60079
-3004.0,3005,695.260365
-1448.0,1449,695.928884
-2082.0,2083,697.546645
-612.0,613,698.487324
-3258.0,3259,700.653237
-5622.0,5623,705.232688
-6138.0,6139,710.0378
-3136.0,3137,712.138682
-7212.0,7213,718.068798
-1436.0,1437,719.392871
-2960.0,2961,721.420639
-656.0,657,721.725382
-2616.0,2617,724.248654
-1332.0,1333,724.860152
-1836.0,1837,726.357896
-18246.0,18247,740.579023
-2126.0,2127,742.261556
-7212.0,7213,748.273988
-1438.0,1439,748.926662
-8414.0,8415,756.125642
-340.0,341,756.281005
-5020.0,5021,759.906419
-448.0,449,760.110932
-726.0,727,761.114142
-2264.0,2265,762.815658
-12130.0,12131,772.561425
-3784.0,3785,775.653725
-4266.0,4267,778.98004
-5098.0,5099,782.654964
-9924.0,9925,790.708955
-3632.0,3633,793.663638
-90.0,91,793.705005
-498.0,499,793.931401
-1560.0,1561,795.284241
-3658.0,3659,798.233222
-1940.0,1941,799.75425
-4704.0,4705,803.161164
-1872.0,1873,804.65446
-2416.0,2417,806.398638
-1850.0,1851,807.884009
-1656.0,1657,809.281518
