#{"t_start": 1731880816.2481515, "env_id": "None"}
r,l,t
-2102.0,2103,2.747965
-10822.0,10823,11.210377
-100001.0,100001,90.889077
-100001.0,100001,170.187593
-77754.0,77755,232.033463
-100001.0,100001,311.810772
-100001.0,100001,392.830476
-100001.0,100001,472.599561
-100001.0,100001,553.805328
-24664.0,24665,573.703611
-100001.0,100001,654.59085
-100001.0,100001,735.165347
-100001.0,100001,816.172773
-100001.0,100001,897.821689
-100001.0,100001,979.31571
-100001.0,100001,1060.679934
-85102.0,85103,1129.444084
-100001.0,100001,1210.472488
-100001.0,100001,1291.242703
-34028.0,34029,1318.965693
-100001.0,100001,1399.039741
-98016.0,98017,1478.279858
-24886.0,24887,1498.351925
-43176.0,43177,1534.15035
-100001.0,100001,1614.017459
-53360.0,53361,1656.926801
-100001.0,100001,1738.873545
-31700.0,31701,1765.217698
-29124.0,29125,1788.960736
-38032.0,38033,1819.607522
-100001.0,100001,1902.008102
-21154.0,21155,1919.641303
-16752.0,16753,1933.021268
-100001.0,100001,2013.825254
-13642.0,13643,2024.374376
-100001.0,100001,2105.273142
-16686.0,16687,2118.665954
-5070.0,5071,2123.200453
-60100.0,60101,2171.301482
-73582.0,73583,2230.753171
-100001.0,100001,2311.679718
-100001.0,100001,2392.884215
-100001.0,100001,2474.325356
-85700.0,85701,2543.584007
-100001.0,100001,2624.449805
-47918.0,47919,2663.823195
-100001.0,100001,2744.795347
-100001.0,100001,2825.983882
-26680.0,26681,2847.617752
-3920.0,3921,2850.868396
-100001.0,100001,2932.703639
-100001.0,100001,3013.609383
-23652.0,23653,3032.658249
-52472.0,52473,3075.907896
-33764.0,33765,3103.635712
-21880.0,21881,3120.763582
-81154.0,81155,3186.522794
-28358.0,28359,3209.773585
-26250.0,26251,3231.401047
-27958.0,27959,3253.704388
-100001.0,100001,3335.242466
-64346.0,64347,3387.228571
-100001.0,100001,3468.462832
-100001.0,100001,3549.565497
-100001.0,100001,3631.032054
-100001.0,100001,3712.337188
-100001.0,100001,3793.427192
-100001.0,100001,3874.229622
-100001.0,100001,3955.595867
-62206.0,62207,4006.584178
-100001.0,100001,4087.107062
-100001.0,100001,4168.09226
-100001.0,100001,4249.05759
-100001.0,100001,4330.158025
-100001.0,100001,4411.289317
-100001.0,100001,4492.617897
-100001.0,100001,4572.575672
-100001.0,100001,4653.254091
-5830.0,5831,4658.130855
-74462.0,74463,4718.115349
-83726.0,83727,4786.126917
-48356.0,48357,4825.626575
-58002.0,58003,4872.373114
-100001.0,100001,4953.487826
-100001.0,100001,5034.348932
-18266.0,18267,5049.117077
-4604.0,4605,5052.655789
-62420.0,62421,5103.219239
-31096.0,31097,5128.183385
-100001.0,100001,5209.518466
-80692.0,80693,5274.709309
-100001.0,100001,5356.335931
-23432.0,23433,5375.046666
-100001.0,100001,5456.106842
-100001.0,100001,5537.250542
-11014.0,11015,5545.951164
-100001.0,100001,5626.68515
-100001.0,100001,5707.76981
-100001.0,100001,5788.485594
-100001.0,100001,5869.235727
-100001.0,100001,5949.368124
-100001.0,100001,6030.673114
-8944.0,8945,6038.386725
-76898.0,76899,6100.33274
-23072.0,23073,6118.808368
-60556.0,60557,6168.08906
-76936.0,76937,6230.555953
-12752.0,12753,6240.886952
-21344.0,21345,6257.854385
-71180.0,71181,6315.625897
-100001.0,100001,6396.128539
-12824.0,12825,6406.265351
-4490.0,4491,6409.798498
-36904.0,36905,6439.545898
-6346.0,6347,6444.598668
-39844.0,39845,6476.946799
-5592.0,5593,6481.600645
-15828.0,15829,6493.767118
-100001.0,100001,6573.884942
-34626.0,34627,6601.276551
-5762.0,5763,6606.00587
-18816.0,18817,6620.793572
-4804.0,4805,6624.348782
-1576.0,1577,6625.752795
-37008.0,37009,6655.000214
-100001.0,100001,6733.945768
-100001.0,100001,6812.643194
-100001.0,100001,6891.431539
-26872.0,26873,6912.403221
-49734.0,49735,6950.990829
-100001.0,100001,7029.195005
-12640.0,12641,7038.966435
-43664.0,43665,7072.885417
-100001.0,100001,7151.384473
-34080.0,34081,7178.340503
-63652.0,63653,7228.379488
-100001.0,100001,7307.369155
-5774.0,5775,7312.018907
-1644.0,1645,7312.766752
-100001.0,100001,7391.927413
-100001.0,100001,7471.100644
-71784.0,71785,7527.2535
-7864.0,7865,7533.533357
-83360.0,83361,7599.368244
-8810.0,8811,7606.103384
-29978.0,29979,7629.717774
-100001.0,100001,7707.196741
-76548.0,76549,7768.103273
-100001.0,100001,7847.517834
-19850.0,19851,7862.928469
-9410.0,9411,7870.682078
-100001.0,100001,7948.636493
-66368.0,66369,8000.856796
