#{"t_start": 1731534643.0150099, "env_id": "None"}
r,l,t
-136.0,137,1.782027
-3500.0,3501,5.631644
-2488.0,2489,8.687231
-686.0,687,10.40538
-2074.0,2075,13.156987
-4540.0,4541,18.95566
-1146.0,1147,21.009274
-2110.0,2111,23.794131
-1836.0,1837,26.374822
-1048.0,1049,27.167075
-4912.0,4913,33.253652
-584.0,585,34.898484
-330.0,331,35.147699
-1628.0,1629,37.577882
-194.0,195,37.724904
-1188.0,1189,38.618392
-72.0,73,38.67316
-346.0,347,40.127766
-530.0,531,40.526599
-780.0,781,41.112507
-338.0,339,41.366851
-1618.0,1619,43.790763
-710.0,711,45.529151
-1080.0,1081,46.34846
-2228.0,2229,49.2213
-5362.0,5363,56.872764
-430.0,431,57.197497
-860.0,861,57.845134
-3720.0,3721,63.037133
-620.0,621,64.704274
-442.0,443,65.038113
-576.0,577,65.474909
-1302.0,1303,67.664514
-150.0,151,67.778139
-480.0,481,68.139268
-2402.0,2403,71.138429
-1292.0,1293,73.325792
-1054.0,1055,74.119286
-2032.0,2033,76.843251
-1286.0,1287,79.0059
-1230.0,1231,79.929419
-2006.0,2007,82.646068
-782.0,783,84.444316
-1246.0,1247,85.381263
-398.0,399,86.87506
-484.0,485,87.238681
-708.0,709,87.769449
-634.0,635,89.449719
-116.0,117,89.537813
-806.0,807,90.143721
-780.0,781,90.730643
-9388.0,9389,104.010093
-1014.0,1015,104.774737
-1910.0,1911,107.420569
-3980.0,3981,112.801893
-946.0,947,114.720613
-3240.0,3241,118.350647
-1794.0,1795,120.887884
-262.0,263,121.085312
-884.0,885,122.942664
-10008.0,10009,136.687388
-1228.0,1229,137.611567
-1388.0,1389,139.860864
-976.0,977,140.592405
-3098.0,3099,145.329442
-536.0,537,145.736174
-930.0,931,147.637734
-7230.0,7231,156.910162
-894.0,895,158.785215
-1282.0,1283,159.748585
-1208.0,1209,161.856913
-2374.0,2375,164.834676
-1748.0,1749,167.352092
-936.0,937,168.054731
-4620.0,4621,175.143009
-3488.0,3489,178.959009
-6428.0,6429,187.41154
-1420.0,1421,189.687026
-46.0,47,189.72263
-258.0,259,189.920798
-2168.0,2169,192.758458
-3318.0,3319,197.669618
-1276.0,1277,199.829618
-1812.0,1813,201.187721
-782.0,783,202.979413
-536.0,537,203.383244
-7960.0,7961,214.317973
-12914.0,12915,231.54195
-84.0,85,231.605932
-4576.0,4577,238.705723
-4866.0,4867,244.785345
-322.0,323,245.027895
-186.0,187,245.168019
-5506.0,5507,252.967007
-2026.0,2027,255.698027
-2314.0,2315,258.654558
-5938.0,5939,266.776158
-5400.0,5401,274.482465
-7152.0,7153,283.495714
-226.0,227,283.666648
-3256.0,3257,288.537777
-3310.0,3311,292.243333
-246.0,247,293.637107
-1584.0,1585,294.828093
-478.0,479,296.395268
-228.0,229,296.567336
-748.0,749,297.130533
-462.0,463,297.479819
-1558.0,1559,299.866028
-916.0,917,300.559684
-2712.0,2713,305.017092
-2598.0,2599,308.173343
-278.0,279,308.383449
-228.0,229,308.555818
-1764.0,1765,311.087776
-256.0,257,311.280885
-958.0,959,313.252894
-1726.0,1727,315.941364
-2526.0,2527,319.051515
-168.0,169,319.179051
-3510.0,3511,324.235317
-2204.0,2205,327.099518
-520.0,521,327.492483
-6430.0,6431,335.960602
-502.0,503,336.338583
-834.0,835,338.169425
-6340.0,6341,346.583746
-78.0,79,346.643477
-3432.0,3433,351.646974
-178.0,179,351.782323
-3788.0,3789,355.83564
-772.0,773,357.633435
-1208.0,1209,358.544583
-1698.0,1699,361.021963
-1036.0,1037,363.016864
-140.0,141,363.123147
-264.0,265,363.322584
-212.0,213,363.482608
-208.0,209,363.640347
-1000.0,1001,365.612699
-106.0,107,365.693544
-276.0,277,365.902275
-5320.0,5321,372.323327
-582.0,583,373.974492
-680.0,681,374.486361
-1284.0,1285,376.66014
-412.0,413,376.97172
-100.0,101,377.047874
-846.0,847,377.686182
-952.0,953,379.620907
-88.0,89,379.688303
-1430.0,1431,381.973094
-646.0,647,382.460532
-196.0,197,382.608663
-304.0,305,382.837151
-1110.0,1111,384.881748
-304.0,305,385.111943
-1054.0,1055,385.906069
-976.0,977,387.859819
-556.0,557,388.282164
-106.0,107,388.362941
-1634.0,1635,390.806364
-114.0,115,390.89259
-94.0,95,390.96466
-904.0,905,391.645557
-812.0,813,393.477817
-268.0,269,393.680744
-182.0,183,393.819233
-782.0,783,394.408648
-334.0,335,395.881057
-1278.0,1279,396.84402
-226.0,227,397.014673
-798.0,799,398.82763
-1094.0,1095,399.648358
-866.0,867,401.517599
-1072.0,1073,402.326712
-612.0,613,404.005954
-528.0,529,404.409117
-542.0,543,404.818213
-284.0,285,405.031854
-182.0,183,405.16925
-1070.0,1071,407.195646
-888.0,889,407.86411
-978.0,979,409.819561
