#{"t_start": 1732655766.406183, "env_id": "None"}
r,l,t
-2236.0,2237,5.298272
-4896.0,4897,14.504749
-6540.0,6541,26.080874
-100001.0,100001,205.311272
-82054.0,82055,358.891057
-144.0,145,359.043014
-930.0,931,361.63807
-22048.0,22049,401.299606
-2096.0,2097,405.086203
-18698.0,18699,441.338846
-2472.0,2473,445.521928
-87194.0,87195,607.668155
-16148.0,16149,637.855838
-120.0,121,637.979991
-6954.0,6955,651.809774
-16256.0,16257,682.100955
-10208.0,10209,701.019908
-7370.0,7371,713.538577
-23166.0,23167,756.131466
-304.0,305,758.087831
-12926.0,12927,781.49989
-3716.0,3717,788.591237
-3082.0,3083,793.394553
-8350.0,8351,808.656578
-4910.0,4911,818.651044
-14220.0,14221,845.13476
-96366.0,96367,1024.139765
-17630.0,17631,1055.302866
-66088.0,66089,1161.473121
-11298.0,11299,1183.27161
-2570.0,2571,1187.925891
-5668.0,5669,1198.934741
-8064.0,8065,1213.477745
-12208.0,12209,1235.248164
-9944.0,9945,1251.99615
-5514.0,5515,1261.4429
-202.0,203,1261.626084
-35244.0,35245,1319.789522
-29466.0,29467,1368.862999
-79664.0,79665,1474.856555
-31532.0,31533,1517.249926
-35884.0,35885,1564.046936
-35318.0,35319,1610.494198
-28582.0,28583,1648.344087
-21104.0,21105,1677.058071
