#{"t_start": 1731872410.1864867, "env_id": "None"}
r,l,t
-13710.0,13711,25.290025
-5716.0,5717,35.876533
-24546.0,24547,80.723638
-35866.0,35867,145.746454
-1910.0,1911,149.272558
-38720.0,38721,220.134212
-17810.0,17811,253.061843
-22266.0,22267,294.010883
-23236.0,23237,335.978312
-9096.0,9097,353.469862
-23678.0,23679,395.815117
-15902.0,15903,425.153766
-31882.0,31883,484.259229
-11942.0,11943,504.489622
-21254.0,21255,544.306953
-3602.0,3603,551.122746
-29922.0,29923,604.716307
-8874.0,8875,619.863718
-5692.0,5693,630.433995
-19992.0,19993,667.479686
-24408.0,24409,712.251979
-31998.0,31999,771.461785
-6708.0,6709,783.018951
-5106.0,5107,791.345975
-5370.0,5371,801.595668
-8776.0,8777,816.994678
-464.0,465,817.463736
-32368.0,32369,877.168578
-12906.0,12907,901.8385
-1116.0,1117,902.970415
-17830.0,17831,936.184231
-12070.0,12071,958.412766
-4648.0,4649,966.287299
-7532.0,7533,980.362216
-1350.0,1351,981.728122
-14824.0,14825,1009.905418
-138.0,139,1010.043991
-8756.0,8757,1025.18199
-12452.0,12453,1047.256154
-9946.0,9947,1065.257056
-31024.0,31025,1120.852787
-5800.0,5801,1131.309358
-16144.0,16145,1160.218217
-6544.0,6545,1171.393904
-5758.0,5759,1181.967707
-14478.0,14479,1207.582436
-48640.0,48641,1295.333243
-9608.0,9609,1311.149887
-7300.0,7301,1324.797749
-12564.0,12565,1346.957645
-75930.0,75931,1483.966851
-18484.0,18485,1517.025391
-4984.0,4985,1525.209808
-2052.0,2053,1528.882403
-42796.0,42797,1606.107961
-16566.0,16567,1635.63221
-14874.0,14875,1663.460749
-926.0,927,1664.37941
-7452.0,7453,1678.236653
-16034.0,16035,1707.281081
-45532.0,45533,1788.674608
-23866.0,23867,1832.215759
-24568.0,24569,1876.591115
-40648.0,40649,1948.381322
-100001.0,100001,2130.420179
-28594.0,28595,2182.254415
-14530.0,14531,2208.294388
-100001.0,100001,2390.196306
-4442.0,4443,2398.029117
-36608.0,36609,2464.590112
-87672.0,87673,2625.103342
-4580.0,4581,2632.908406
-47824.0,47825,2720.393575
-16988.0,16989,2750.614887
-6546.0,6547,2762.092008
-100001.0,100001,2943.785764
-21648.0,21649,2981.930483
-63580.0,63581,3097.259444
-25310.0,25311,3143.922364
-21466.0,21467,3181.90387
-100001.0,100001,3364.458419
-26762.0,26763,3412.665247
-100001.0,100001,3595.22521
-23058.0,23059,3636.745864
-57946.0,57947,3743.680098
-13618.0,13619,3767.243804
-69950.0,69951,3894.151824
-12858.0,12859,3918.518754
-7956.0,7957,3933.129362
-9834.0,9835,3949.304592
-8160.0,8161,3964.024811
-4752.0,4753,3973.544818
-9650.0,9651,3989.542312
-20040.0,20041,4025.861379
-6120.0,6121,4036.820012
-18046.0,18047,4069.677576
-8402.0,8403,4084.490763
-9112.0,9113,4101.807143
-22656.0,22657,4142.520013
-29820.0,29821,4195.313852
-122.0,123,4195.437336
-11078.0,11079,4216.429268
-46958.0,46959,4302.278308
-7570.0,7571,4314.970644
-50816.0,50817,4407.910375
-12866.0,12867,4430.902277
-1076.0,1077,4433.622365
-24418.0,24419,4477.854122
-12732.0,12733,4500.61677
-23826.0,23827,4544.408928
-10888.0,10889,4563.492156
-11486.0,11487,4584.847954
-15522.0,15523,4611.996676
-68.0,69,4612.069636
-82.0,83,4612.151496
-34842.0,34843,4674.981343
-16578.0,16579,4704.563428
-41318.0,41319,4781.202131
-7800.0,7801,4793.738605
-1842.0,1843,4797.192669
-328.0,329,4797.516441
-4996.0,4997,4807.346759
-12388.0,12389,4829.558414
-1730.0,1731,4832.884459
-9692.0,9693,4849.177692
-10062.0,10063,4867.434358
-4050.0,4051,4874.722034
-9296.0,9297,4892.315823
-1788.0,1789,4895.713448
-9360.0,9361,4911.636615
-5376.0,5377,4921.921293
-12002.0,12003,4943.943894
-2212.0,2213,4947.767455
-6994.0,6995,4959.543174
-1084.0,1085,4962.250977
-2910.0,2911,4966.746433
