#{"t_start": 1731884087.9209251, "env_id": "None"}
r,l,t
-8376.0,8377,16.45044
-16338.0,16339,46.365441
-3266.0,3267,51.285198
-67976.0,67977,175.093859
-30194.0,30195,230.291331
-100001.0,100001,412.93841
-26174.0,26175,460.902999
-91118.0,91119,626.578713
-100001.0,100001,809.219251
-27966.0,27967,860.407392
-100001.0,100001,1042.367215
-61122.0,61123,1152.024961
-62942.0,62943,1266.977014
-100001.0,100001,1449.850757
-22638.0,22639,1490.375138
-100001.0,100001,1671.13616
-14956.0,14957,1697.320984
-100001.0,100001,1877.227692
-100001.0,100001,2057.727483
-100001.0,100001,2237.852
-86790.0,86791,2393.950942
-52632.0,52633,2489.550255
-28590.0,28591,2541.306344
-100001.0,100001,2721.152174
-65992.0,65993,2841.919949
-28870.0,28871,2893.825391
-100001.0,100001,3075.391107
-100001.0,100001,3254.442841
-100001.0,100001,3434.849077
-9852.0,9853,3452.714945
-27580.0,27581,3503.043761
-78656.0,78657,3643.91258
-30174.0,30175,3698.401096
-100001.0,100001,3879.451588
-7990.0,7991,3892.223208
-79026.0,79027,4036.199807
-80782.0,80783,4182.013428
-100001.0,100001,4362.752726
-75522.0,75523,4499.478299
-75792.0,75793,4636.72191
-96874.0,96875,4811.410076
-100001.0,100001,4992.141116
-100001.0,100001,5172.688394
-3906.0,3907,5179.745241
-22778.0,22779,5220.429738
-42716.0,42717,5297.620167
-52884.0,52885,5393.183752
-34744.0,34745,5456.189469
-14824.0,14825,5482.402378
-71680.0,71681,5611.74878
-12558.0,12559,5634.003308
-57990.0,57991,5738.259323
-7518.0,7519,5752.172716
-9992.0,9993,5770.170138
-64192.0,64193,5885.035665
-14998.0,14999,5912.961805
-7720.0,7721,5925.389984
-100001.0,100001,6106.215644
-5338.0,5339,6116.341314
-19400.0,19401,6150.459399
-54082.0,54083,6249.214345
-100001.0,100001,6430.650589
-40176.0,40177,6501.739681
-48812.0,48813,6589.996464
-3716.0,3717,6596.890043
-100001.0,100001,6778.061661
-30754.0,30755,6833.7408
-33982.0,33983,6894.199857
-100001.0,100001,7075.98234
-51488.0,51489,7168.867304
-63624.0,63625,7282.858803
-9532.0,9533,7300.365084
-100001.0,100001,7481.317974
-37830.0,37831,7548.256385
-38110.0,38111,7617.384583
-30630.0,30631,7672.828564
-84444.0,84445,7825.796177
-16342.0,16343,7855.41778
-40234.0,40235,7928.913503
-52430.0,52431,8022.595342
-18532.0,18533,8055.92901
-5914.0,5915,8066.645818
-29992.0,29993,8121.149513
-6294.0,6295,8132.21463
-38708.0,38709,8202.052566
-67352.0,67353,8323.716594
-100001.0,100001,8505.061639
-100001.0,100001,8684.819443
-16806.0,16807,8716.410005
-100001.0,100001,8895.783273
-43604.0,43605,8975.547222
-100001.0,100001,9156.150514
-18380.0,18381,9189.024396
-35794.0,35795,9252.425644
-11316.0,11317,9273.355339
-100001.0,100001,9452.506205
-55648.0,55649,9555.013044
-46810.0,46811,9638.985819
-19822.0,19823,9675.610682
-100001.0,100001,9858.716938
-89512.0,89513,10022.94953
-33234.0,33235,10083.019058
-100001.0,100001,10266.1677
-76708.0,76709,10405.747044
-3044.0,3045,10412.002438
-56634.0,56635,10513.865301
-52386.0,52387,10609.801655
-9902.0,9903,10627.867823
-65026.0,65027,10745.073144
-72656.0,72657,10878.154199
-34668.0,34669,10941.056697
-10774.0,10775,10960.085339
-21712.0,21713,10999.893207
-52238.0,52239,11094.178845
-100001.0,100001,11276.77053
-38006.0,38007,11346.838665
-24780.0,24781,11391.55596
-72486.0,72487,11523.363647
-100001.0,100001,11706.476781
-100001.0,100001,11888.87346
-28550.0,28551,11940.6081
-27988.0,27989,11990.355636
-100001.0,100001,12172.467583
-8212.0,8213,12187.291451
-13928.0,13929,12212.759019
-100001.0,100001,12395.386794
-100001.0,100001,12577.419452
