#{"t_start": 1731633686.150837, "env_id": "None"}
r,l,t
-1326.0,1327,2.882385
-1950.0,1951,6.490455
-186.0,187,6.68375
-1000.0,1001,9.339016
-3286.0,3287,14.296165
-2178.0,2179,18.121779
-16962.0,16963,50.987949
-216.0,217,51.211581
-2512.0,2513,55.451568
-1812.0,1813,58.90013
-10190.0,10191,77.532454
-14642.0,14643,104.198966
-4768.0,4769,112.274607
-3340.0,3341,118.892338
-694.0,695,119.599841
-2640.0,2641,125.699612
-2674.0,2675,130.015305
-728.0,729,130.756449
-8696.0,8697,146.183833
-28742.0,28743,201.037502
-2966.0,2967,205.676396
-16042.0,16043,235.858943
-3392.0,3393,240.941447
-1228.0,1229,243.797029
-5090.0,5091,253.801828
-2492.0,2493,257.962795
-730.0,731,258.706523
-12122.0,12123,281.046542
-1790.0,1791,284.483911
-13082.0,13083,307.920508
-6484.0,6485,319.367059
-3772.0,3773,326.423341
-828.0,829,328.876476
-3512.0,3513,334.059086
-196.0,197,335.874575
-1572.0,1573,337.472881
-272.0,273,337.750743
-13816.0,13817,363.482081
-1414.0,1415,366.530777
-1060.0,1061,367.609683
-5816.0,5817,378.454191
-3008.0,3009,384.815011
-5044.0,5045,393.219149
-1080.0,1081,395.941128
-18256.0,18257,429.980738
-1706.0,1707,431.718335
-5110.0,5111,441.826295
-520.0,521,442.356766
-822.0,823,444.804537
-642.0,643,445.459594
-332.0,333,445.798853
-3078.0,3079,452.15856
-1870.0,1871,454.062807
-5080.0,5081,464.263772
-2820.0,2821,468.745331
-136.0,137,468.884964
-2062.0,2063,472.591807
-864.0,865,475.110121
-5120.0,5121,483.556122
-3236.0,3237,490.052951
-606.0,607,490.670304
-518.0,519,491.198822
-1630.0,1631,494.473836
-1004.0,1005,497.130675
-2254.0,2255,501.034049
-352.0,353,501.39341
-2936.0,2937,505.982264
-1074.0,1075,508.685695
-6412.0,6413,520.034213
-854.0,855,522.522951
-1870.0,1871,524.42735
-2004.0,2005,528.106491
-2794.0,2795,534.17746
-1056.0,1057,535.252398
-246.0,247,535.50347
-3058.0,3059,541.838981
-1282.0,1283,544.76924
-688.0,689,545.470967
-590.0,591,546.07184
-1282.0,1283,548.980806
-4992.0,4993,557.48521
-996.0,997,560.116266
-1112.0,1113,561.249963
-692.0,693,563.581451
-2332.0,2333,567.584173
-794.0,795,568.394179
-252.0,253,568.652497
-5926.0,5927,579.661767
-1954.0,1955,583.281024
-2526.0,2527,587.519291
-1976.0,1977,591.236329
-3188.0,3189,597.720072
-1328.0,1329,599.074535
-4298.0,4299,608.308356
-5442.0,5443,617.14374
-1834.0,1835,620.642029
-614.0,615,621.269532
-4844.0,4845,631.103553
-3202.0,3203,636.177409
-1572.0,1573,639.39716
-4460.0,4461,647.202097
-752.0,753,649.583858
-2360.0,2361,653.618493
-692.0,693,654.327756
-1252.0,1253,657.228466
-1918.0,1919,660.792709
-1936.0,1937,664.38285
-4770.0,4771,672.530721
-1874.0,1875,676.080168
-4292.0,4293,683.681605
-4764.0,4765,691.801832
-3536.0,3537,698.639827
-5820.0,5821,709.4539
-376.0,377,709.838137
-6486.0,6487,721.3262
-6904.0,6905,735.115501
-658.0,659,735.786024
-2740.0,2741,740.213924
-1808.0,1809,743.665554
-5164.0,5165,753.932108
-288.0,289,754.227928
-1906.0,1907,757.835991
-3028.0,3029,762.537746
-1840.0,1841,766.11799
-612.0,613,766.746562
-2994.0,2995,773.152189
-5470.0,5471,783.626526
-3456.0,3457,788.788639
-1810.0,1811,792.272429
-1256.0,1257,795.196496
-858.0,859,796.070622
-3482.0,3483,802.887437
-678.0,679,803.578411
-204.0,205,803.786978
-1430.0,1431,807.086644
-3208.0,3209,813.648305
-326.0,327,813.980448
-2406.0,2407,818.071928
-564.0,565,818.646312
-996.0,997,821.282856
-4754.0,4755,829.378143
-1262.0,1263,832.303745
-6230.0,6231,843.561216
-82.0,83,843.646094
-1514.0,1515,845.184685
-1114.0,1115,847.962378
-1402.0,1403,851.022078
-722.0,723,851.757948
-976.0,977,854.377258
-906.0,907,855.298656
-7610.0,7611,869.71917
-1894.0,1895,873.274422
-308.0,309,873.588809
-808.0,809,874.416363
-680.0,681,875.107744
-3700.0,3701,882.134943
-510.0,511,884.293964
-2420.0,2421,888.394698
-828.0,829,889.237299
-5114.0,5115,899.351181
-6030.0,6031,910.637269
-346.0,347,910.992813
-718.0,719,911.726267
-670.0,671,912.409376
-3368.0,3369,919.142141
-3514.0,3515,926.028433
-790.0,791,926.832784
-126.0,127,926.961754
-3566.0,3567,933.96318
-160.0,161,934.128294
-2446.0,2447,938.266154
-486.0,487,938.761244
-1750.0,1751,942.174955
-106.0,107,942.283798
-1098.0,1099,945.123393
-4042.0,4043,952.583591
-62.0,63,952.647882
-3242.0,3243,959.207744
-66.0,67,959.276423
-3308.0,3309,964.28908
-170.0,171,964.462958
-2856.0,2857,970.690518
-1956.0,1957,974.322149
-3460.0,3461,979.645905
-7908.0,7909,994.426622
-9130.0,9131,1012.126388
-584.0,585,1012.721485
-6668.0,6669,1024.451992
-1266.0,1267,1027.389778
-1086.0,1087,1028.497691
-1092.0,1093,1031.261426
-5830.0,5831,1042.156001
-7310.0,7311,1054.5445
-4288.0,4289,1062.205775
-5886.0,5887,1073.151996
-5902.0,5903,1084.146962
-2086.0,2087,1088.069835
-14360.0,14361,1114.752338
-19934.0,19935,1152.652302
-2914.0,2915,1157.276105
-3676.0,3677,1164.30724
-9300.0,9301,1182.196199
-2910.0,2911,1186.840252
-2736.0,2737,1191.284046
