#{"t_start": 1731441464.363765, "env_id": "None"}
r,l,t
-74.0,75,1.704644
-582.0,583,2.207498
-1104.0,1105,3.391758
-2930.0,2931,7.767485
-8288.0,8289,16.091721
-970.0,971,16.553479
-198.0,199,16.647949
-1570.0,1571,18.219204
-4588.0,4589,22.427247
-746.0,747,24.018165
-1056.0,1057,24.532148
-5988.0,5989,30.442837
-868.0,869,31.799766
-26.0,27,31.812904
-2536.0,2537,34.06052
-4980.0,4981,39.578465
-54.0,55,39.605999
-3160.0,3161,42.81462
-1148.0,1149,43.369916
-4190.0,4191,47.802505
-3514.0,3515,50.302794
-538.0,539,50.56261
-2484.0,2485,53.43466
-3828.0,3829,56.941334
-1894.0,1895,57.849947
-1022.0,1023,59.168267
-7218.0,7219,66.013488
-2128.0,2129,67.90995
-940.0,941,68.361252
-4944.0,4945,72.452132
-2156.0,2157,74.34479
-1538.0,1539,75.958
-2556.0,2557,78.04712
-1984.0,1985,79.851695
-862.0,863,81.123801
-612.0,613,81.422092
-2570.0,2571,83.489843
-1160.0,1161,84.885576
-1354.0,1355,86.338797
-4718.0,4719,90.261732
-1340.0,1341,91.71855
-5112.0,5113,95.842995
-2072.0,2073,97.6838
-1622.0,1623,99.589645
-1328.0,1329,101.205373
-1476.0,1477,102.035985
-1988.0,1989,103.940959
-622.0,623,105.071324
-206.0,207,105.169624
-1418.0,1419,105.850425
-772.0,773,107.16606
-206.0,207,107.264438
-878.0,879,107.698966
-198.0,199,107.795379
-520.0,521,108.852079
-390.0,391,109.038061
-838.0,839,109.440458
-170.0,171,109.522825
-1320.0,1321,111.031488
-174.0,175,111.114957
-1734.0,1735,112.751957
-1512.0,1513,114.314848
-1658.0,1659,115.106615
-810.0,811,116.298961
-110.0,111,116.352191
-1780.0,1781,117.985613
-1888.0,1889,119.693561
-1206.0,1207,120.289549
-546.0,547,121.383572
-1316.0,1317,122.038822
-348.0,349,122.211127
-412.0,413,123.191067
-814.0,815,123.590856
-1926.0,1927,125.323907
-2444.0,2445,127.332278
-1688.0,1689,129.016356
-386.0,387,129.206603
-168.0,169,129.290049
-2766.0,2767,132.339246
-1964.0,1965,133.294424
-208.0,209,134.306189
-3074.0,3075,137.385551
-2826.0,2827,139.579099
-1550.0,1551,141.165864
-224.0,225,141.275717
-876.0,877,142.515875
-868.0,869,142.949489
-282.0,283,143.086728
-4210.0,4211,146.768449
-384.0,385,147.753868
-244.0,245,147.87381
-840.0,841,148.275576
-170.0,171,148.359657
-186.0,187,148.452171
-914.0,915,149.688731
-1940.0,1941,151.462674
-2352.0,2353,153.459333
-1964.0,1965,155.221911
-856.0,857,155.630044
-566.0,567,155.906382
-1344.0,1345,157.350705
-668.0,669,157.682576
-490.0,491,158.706801
-1862.0,1863,160.386543
-752.0,753,160.743825
-484.0,485,160.981561
-256.0,257,161.106685
-306.0,307,161.255036
-1616.0,1617,162.835769
-630.0,631,163.971036
-116.0,117,164.02913
-642.0,643,164.336274
-330.0,331,164.497933
-624.0,625,164.79314
-618.0,619,165.916266
-2760.0,2761,168.076976
-796.0,797,168.460909
-914.0,915,169.74123
-134.0,135,169.811612
-514.0,515,170.065323
-216.0,217,170.174447
-510.0,511,171.226362
-340.0,341,171.388541
-818.0,819,171.78663
-694.0,695,172.130043
-236.0,237,173.025655
-132.0,133,173.091307
-162.0,163,173.171865
-786.0,787,173.55148
-654.0,655,173.866624
-188.0,189,174.751225
-138.0,139,174.816898
-994.0,995,175.303087
-716.0,717,175.650039
-424.0,425,176.652029
-1124.0,1125,177.198293
-116.0,117,177.254212
-750.0,751,178.591301
-1194.0,1195,179.155745
-896.0,897,180.348318
-192.0,193,180.439969
-2258.0,2259,182.303764
-282.0,283,182.439455
-356.0,357,182.61088
-488.0,489,182.842021
-578.0,579,183.896154
-838.0,839,184.295156
-564.0,565,184.565262
-98.0,99,184.613177
-42.0,43,184.633988
-14.0,15,184.641261
-82.0,83,184.681512
-684.0,685,185.762227
-294.0,295,185.904869
-508.0,509,186.146773
-900.0,901,187.353136
-686.0,687,187.676918
-684.0,685,188.517091
-580.0,581,191.212511
-282.0,283,191.346165
-288.0,289,191.483187
-658.0,659,191.794797
-492.0,493,192.027974
-166.0,167,192.869991
-346.0,347,193.033559
-380.0,381,193.212596
-242.0,243,193.327275
-688.0,689,193.651198
-312.0,313,193.799153
-410.0,411,194.827201
-146.0,147,194.897656
-264.0,265,195.045804
-1076.0,1077,195.602063
-1004.0,1005,197.359626
-120.0,121,197.418357
-614.0,615,197.710961
-120.0,121,197.768852
-290.0,291,197.915108
-488.0,489,199.123933
-702.0,703,199.456243
-68.0,69,199.489548
-166.0,167,199.569314
-886.0,887,200.767692
-266.0,267,200.896957
-532.0,533,201.339616
-170.0,171,201.420352
-210.0,211,201.520138
-656.0,657,201.829487
-484.0,485,202.812293
-190.0,191,202.905194
-292.0,293,203.045546
-638.0,639,203.351083
-314.0,315,203.499627
-64.0,65,203.530191
-2526.0,2527,206.196472
-310.0,311,206.520307
-68.0,69,206.554123
-262.0,263,206.681033
-1376.0,1377,208.15767
-562.0,563,208.429066
-688.0,689,208.76211
-1246.0,1247,210.154642
-1300.0,1301,211.676594
-658.0,659,211.997816
-1820.0,1821,213.80484
-124.0,125,213.865214
-1270.0,1271,214.485077
-70.0,71,214.519599
-808.0,809,215.716488
-510.0,511,215.963669
-1696.0,1697,217.579265
-140.0,141,217.648482
-794.0,795,218.044625
-72.0,73,218.082081
-102.0,103,218.134615
-62.0,63,218.962153
-1664.0,1665,219.852584
-142.0,143,219.922084
-836.0,837,221.071244
-432.0,433,221.280419
-212.0,213,221.383513
-186.0,187,221.474268
-42.0,43,221.500114
-288.0,289,221.639824
-118.0,119,221.697066
-1004.0,1005,222.969704
-458.0,459,223.187311
-852.0,853,224.368429
-44.0,45,224.389805
-660.0,661,224.70276
-290.0,291,224.841191
-684.0,685,225.160905
-314.0,315,226.076871
-118.0,119,226.133714
-578.0,579,226.409498
