#{"t_start": 1732611304.2551544, "env_id": "None"}
r,l,t
-390.0,391,1.924985
-256.0,257,2.189682
-114.0,115,2.308101
-640.0,641,3.012175
-262.0,263,3.283133
-14.0,15,3.298698
-366.0,367,5.28146
-156.0,157,5.443658
-30.0,31,5.475809
-80.0,81,5.559425
-1622.0,1623,7.319407
-38.0,39,7.359762
-66.0,67,7.436134
-462.0,463,9.505469
-300.0,301,9.815222
-308.0,309,10.139504
-90.0,91,10.233312
-412.0,413,10.658681
-216.0,217,10.882967
-888.0,889,13.396173
-34.0,35,13.432559
-478.0,479,13.935047
-812.0,813,14.776903
-530.0,531,16.919998
-184.0,185,17.110798
-136.0,137,17.25193
-184.0,185,17.450408
-600.0,601,18.069298
-384.0,385,18.470915
-96.0,97,18.571096
-86.0,87,20.24611
-138.0,139,20.389558
-118.0,119,20.512275
-26.0,27,20.540205
-296.0,297,20.847857
-172.0,173,21.032829
-158.0,159,21.197262
-454.0,455,21.667275
-68.0,69,21.73844
-420.0,421,22.177907
-440.0,441,24.219884
-128.0,129,24.352805
-182.0,183,24.541936
-264.0,265,24.820777
-54.0,55,24.877487
-34.0,35,24.913759
-178.0,179,25.098608
-178.0,179,25.283381
-792.0,793,27.698079
-704.0,705,28.432408
-28.0,29,28.462399
-74.0,75,28.539869
-12.0,13,28.553332
-1136.0,1137,29.728857
-226.0,227,31.554493
-120.0,121,31.679582
-954.0,955,32.672401
-932.0,933,35.227541
-374.0,375,35.616642
-26.0,27,35.645321
-348.0,349,36.013495
-278.0,279,36.302096
-86.0,87,36.391801
-132.0,133,36.529237
-52.0,53,36.583961
-460.0,461,37.064736
-130.0,131,37.199933
-28.0,29,38.819135
-58.0,59,38.880405
-268.0,269,39.158448
-70.0,71,39.231696
-246.0,247,39.491714
-54.0,55,39.548466
-92.0,93,39.644176
-264.0,265,39.918142
-92.0,93,40.014196
-238.0,239,40.261199
-224.0,225,40.498399
-956.0,957,43.075373
-132.0,133,43.214676
-570.0,571,43.803941
-292.0,293,44.111357
-94.0,95,44.209388
-72.0,73,44.284596
-174.0,175,44.465646
-380.0,381,46.443788
-56.0,57,46.502574
-320.0,321,46.837275
-546.0,547,47.400185
-66.0,67,47.469316
-12.0,13,47.482852
-214.0,215,47.709119
-326.0,327,48.045362
-1012.0,1013,50.677891
-414.0,415,51.109952
-296.0,297,51.423721
-64.0,65,51.490668
-142.0,143,51.63846
-120.0,121,51.763373
-310.0,311,53.671708
-92.0,93,53.767882
-126.0,127,53.898967
-248.0,249,54.162308
-80.0,81,54.24581
-242.0,243,54.496385
-226.0,227,54.730624
-338.0,339,55.086355
-14.0,15,55.101923
-40.0,41,55.1443
-190.0,191,55.341827
-120.0,121,55.466475
-20.0,21,55.488393
-326.0,327,57.414688
-454.0,455,57.88861
-122.0,123,58.015208
-158.0,159,58.178781
-550.0,551,58.752469
-158.0,159,58.916854
-28.0,29,58.946731
-208.0,209,59.162062
-270.0,271,59.441167
-12.0,13,59.454686
-94.0,95,61.142694
-50.0,51,61.195553
-422.0,423,61.638236
-138.0,139,61.781673
-168.0,169,61.956222
-40.0,41,61.998888
-140.0,141,62.144626
-128.0,129,62.27776
-488.0,489,62.786772
-304.0,305,63.101593
-186.0,187,64.882164
-158.0,159,65.051089
-144.0,145,65.20056
-92.0,93,65.296721
-52.0,53,65.351789
-40.0,41,65.394153
-472.0,473,65.88184
-140.0,141,66.03229
-82.0,83,66.117712
-40.0,41,66.159962
-162.0,163,66.328096
-282.0,283,66.619775
-236.0,237,66.863536
-54.0,55,68.507143
-208.0,209,68.732305
-146.0,147,68.884458
-148.0,149,69.038347
-194.0,195,69.239448
-116.0,117,69.359848
-62.0,63,69.42507
-96.0,97,69.525433
-770.0,771,70.353244
-56.0,57,70.412258
-158.0,159,70.576651
-214.0,215,72.460655
-136.0,137,72.601909
-120.0,121,72.727092
-110.0,111,72.841914
-176.0,177,73.024202
-76.0,77,73.10364
-608.0,609,73.815808
-26.0,27,73.843976
-232.0,233,74.083586
-164.0,165,74.25332
-136.0,137,74.394637
-24.0,25,74.420464
-146.0,147,76.165885
-38.0,39,76.20603
-390.0,391,76.608802
-64.0,65,76.675979
-378.0,379,77.066775
-38.0,39,77.107057
-90.0,91,77.207133
-154.0,155,77.367035
-300.0,301,77.676998
-84.0,85,77.764724
-88.0,89,77.856391
-76.0,77,77.935472
-232.0,233,78.175757
-48.0,49,79.860646
-400.0,401,80.273471
-150.0,151,80.428925
-178.0,179,80.613521
-166.0,167,80.785522
-78.0,79,80.91968
-218.0,219,81.145239
-68.0,69,81.21658
-202.0,203,81.425386
-192.0,193,81.624249
-268.0,269,81.901549
-50.0,51,82.012191
-298.0,299,83.907676
-32.0,33,83.941717
-160.0,161,84.107889
-120.0,121,84.232758
-108.0,109,84.344863
-238.0,239,84.591114
-220.0,221,84.858092
-94.0,95,84.955914
-66.0,67,85.025235
-86.0,87,85.115176
-590.0,591,85.797993
-36.0,37,85.836323
-144.0,145,87.573565
-408.0,409,87.995504
-40.0,41,88.03785
-84.0,85,88.125803
-188.0,189,88.320197
-28.0,29,88.350177
-206.0,207,88.568394
-360.0,361,88.940242
-100.0,101,89.044569
-14.0,15,89.060137
-216.0,217,89.284009
-52.0,53,89.338644
-270.0,271,91.254386
-110.0,111,91.368967
-72.0,73,91.444295
-18.0,19,91.464022
-72.0,73,91.539694
-96.0,97,91.639941
-432.0,433,92.086111
-386.0,387,92.493309
-28.0,29,92.523511
-146.0,147,92.674897
-28.0,29,92.705107
-260.0,261,92.973677
-68.0,69,93.045033
-64.0,65,93.112347
-46.0,47,93.25237
-194.0,195,95.047126
-448.0,449,95.509274
-10.0,11,95.520733
-76.0,77,95.600359
-16.0,17,95.617994
-52.0,53,95.672782
-148.0,149,95.82643
-124.0,125,96.02122
-228.0,229,96.257141
-48.0,49,96.307719
-52.0,53,96.362455
-94.0,95,96.460383
-332.0,333,96.802707
-40.0,41,96.84508
-28.0,29,96.875011
-200.0,201,97.142438
-270.0,271,99.011227
-30.0,31,99.043318
-48.0,49,99.094006
-94.0,95,99.192018
-182.0,183,99.380004
-358.0,359,99.753658
-108.0,109,99.866052
-118.0,119,99.988345
-332.0,333,100.330413
-128.0,129,100.463199
-48.0,49,100.513978
-54.0,55,100.57054
-98.0,99,100.742086
-24.0,25,100.767991
-126.0,127,100.89924
-286.0,287,102.782506
-204.0,205,102.993607
-266.0,267,103.267503
-30.0,31,103.2994
-106.0,107,103.479538
-24.0,25,103.505598
-132.0,133,103.642515
-26.0,27,103.670403
-12.0,13,103.683853
-28.0,29,103.713912
-244.0,245,103.965382
-66.0,67,104.034641
-384.0,385,104.431091
-308.0,309,104.793772
-74.0,75,106.46336
-152.0,153,106.621426
-90.0,91,106.715383
-66.0,67,106.784382
-106.0,107,106.894739
-94.0,95,106.992889
-106.0,107,107.103271
-74.0,75,107.224251
-72.0,73,107.299668
-92.0,93,107.395614
-40.0,41,107.438281
-258.0,259,107.705018
-90.0,91,107.799218
-144.0,145,107.948407
-10.0,11,107.959898
-128.0,129,108.092779
-144.0,145,108.280869
-118.0,119,108.403938
-100.0,101,108.508269
-272.0,273,110.381788
-54.0,55,110.438914
-134.0,135,110.578459
-82.0,83,110.664061
-82.0,83,110.749924
-66.0,67,110.819209
-324.0,325,111.229126
-210.0,211,111.446538
-292.0,293,111.747907
-76.0,77,111.827502
-140.0,141,111.978187
-42.0,43,112.022944
-120.0,121,112.14786
-26.0,27,112.175874
-178.0,179,112.360725
-66.0,67,114.021571
-310.0,311,114.341917
-54.0,55,114.398672
-306.0,307,114.743709
-92.0,93,114.839959
-50.0,51,114.892718
-172.0,173,115.071355
-26.0,27,115.099402
-126.0,127,115.230329
-38.0,39,115.270707
-86.0,87,115.360548
-128.0,129,115.493177
-306.0,307,115.814951
-26.0,27,115.843029
-44.0,45,115.889362
-18.0,19,115.909123
-838.0,839,118.529174
-168.0,169,118.703465
-124.0,125,118.831839
-74.0,75,118.909183
-236.0,237,119.153471
-114.0,115,119.272293
-108.0,109,119.384356
-288.0,289,119.688044
-452.0,453,121.743196
-90.0,91,121.837099
-102.0,103,121.943258
-72.0,73,122.018572
-52.0,53,122.07332
-170.0,171,122.255638
-234.0,235,122.498006
-260.0,261,122.767309
-64.0,65,122.834167
-92.0,93,122.930031
-28.0,29,122.960292
-220.0,221,123.193454
-156.0,157,123.355252
-124.0,125,123.484391
-222.0,223,123.713977
-130.0,131,125.437524
-86.0,87,125.527359
-64.0,65,125.594684
-218.0,219,125.825969
-16.0,17,125.843619
-78.0,79,125.928141
-152.0,153,126.087017
-326.0,327,126.42435
-132.0,133,126.561845
-58.0,59,126.622649
-158.0,159,126.786832
-42.0,43,126.839193
-474.0,475,127.32814
-40.0,41,127.370721
-38.0,39,127.410882
-138.0,139,129.148581
-356.0,357,129.523503
-38.0,39,129.563787
-58.0,59,129.624876
-232.0,233,129.865235
-116.0,117,129.98597
-196.0,197,130.18918
-198.0,199,130.394371
-26.0,27,130.422281
-282.0,283,130.720014
-126.0,127,130.850976
-180.0,181,131.037448
-14.0,15,131.053016
-42.0,43,131.097455
-552.0,553,133.26218
-68.0,69,133.333458
-36.0,37,133.371599
-110.0,111,133.48628
-52.0,53,133.540679
-38.0,39,133.581042
-148.0,149,133.733979
-22.0,23,133.757712
-72.0,73,133.832863
-94.0,95,133.930793
-34.0,35,133.967058
-40.0,41,134.009453
-100.0,101,134.113574
-282.0,283,134.410873
-152.0,153,134.568473
-110.0,111,134.683175
-24.0,25,134.708973
-424.0,425,136.734258
-454.0,455,137.207702
-140.0,141,137.352581
-28.0,29,137.382442
-488.0,489,137.890479
-232.0,233,138.129955
-26.0,27,138.15798
-414.0,415,138.584769
-90.0,91,140.268134
-24.0,25,140.294195
-68.0,69,140.365388
-362.0,363,140.744669
-90.0,91,140.838428
-30.0,31,140.870442
-198.0,199,141.075019
-46.0,47,141.123586
-328.0,329,141.46709
-104.0,105,141.575248
-106.0,107,141.685382
-42.0,43,141.729818
-28.0,29,141.759798
-460.0,461,142.234083
-86.0,87,143.914631
