#{"t_start": 1731650554.550316, "env_id": "None"}
r,l,t
-7570.0,7571,6.978073
-47160.0,47161,44.697183
-95368.0,95369,121.740061
-16284.0,16285,135.071159
-100001.0,100001,216.829191
-100001.0,100001,297.847873
-100001.0,100001,379.879351
-100001.0,100001,461.932657
-13892.0,13893,473.402666
-100001.0,100001,556.262633
-100001.0,100001,638.408574
-84906.0,84907,709.378492
-100001.0,100001,792.504751
-100001.0,100001,876.091459
-100001.0,100001,958.069542
-31408.0,31409,984.447975
-100001.0,100001,1066.627171
-100001.0,100001,1148.089103
-100001.0,100001,1230.037926
-100001.0,100001,1311.877007
-100001.0,100001,1394.118715
-100001.0,100001,1476.917114
-85094.0,85095,1547.246456
-3142.0,3143,1550.184702
-100001.0,100001,1634.398049
-100001.0,100001,1719.107174
-100001.0,100001,1803.208001
-100001.0,100001,1886.285117
-100001.0,100001,1969.369016
-100001.0,100001,2053.751539
-100001.0,100001,2139.271916
-97032.0,97033,2222.004968
-100001.0,100001,2307.922829
-49984.0,49985,2350.670186
-100001.0,100001,2434.270132
-100001.0,100001,2518.152959
-78102.0,78103,2583.700603
-100001.0,100001,2667.179103
-100001.0,100001,2750.472903
-100001.0,100001,2834.222759
-100001.0,100001,2916.917346
-9148.0,9149,2924.918491
-18116.0,18117,2940.072737
-8870.0,8871,2947.228716
-16980.0,16981,2961.251117
-25850.0,25851,2982.999889
-32276.0,32277,3009.999763
-12178.0,12179,3020.151193
-55492.0,55493,3066.252686
-48802.0,48803,3106.775331
-95722.0,95723,3184.476187
-68562.0,68563,3239.871086
-43614.0,43615,3274.634049
-2736.0,2737,3276.587413
-3298.0,3299,3279.495322
-35600.0,35601,3307.63993
-75914.0,75915,3368.34548
-29764.0,29765,3392.424819
-100001.0,100001,3472.48837
-50658.0,50659,3513.190802
-11636.0,11637,3522.014405
-12130.0,12131,3531.751397
-5486.0,5487,3536.358793
-17928.0,17929,3550.854434
-15558.0,15559,3562.880741
-28518.0,28519,3585.797788
-1584.0,1585,3587.220149
-25244.0,25245,3607.506012
-100001.0,100001,3689.866414
-100001.0,100001,3772.056802
-63362.0,63363,3823.926725
-60930.0,60931,3873.604278
-3616.0,3617,3875.980402
-562.0,563,3876.935729
-59812.0,59813,3924.729063
-49888.0,49889,3964.517442
-74518.0,74519,4024.674836
-18646.0,18647,4039.7131
-24768.0,24769,4059.484048
-88682.0,88683,4130.463773
-3766.0,3767,4133.616476
-48284.0,48285,4171.877799
-67320.0,67321,4226.118942
-41012.0,41013,4259.008644
-9232.0,9233,4266.766763
-30334.0,30335,4291.350089
-98802.0,98803,4370.746025
-43956.0,43957,4406.140472
-20946.0,20947,4423.678479
-52212.0,52213,4465.812589
-15770.0,15771,4478.778459
-19258.0,19259,4494.122844
-100001.0,100001,4576.374245
-100001.0,100001,4659.081895
-96450.0,96451,4738.843066
-71886.0,71887,4797.416433
-67132.0,67133,4852.754945
-10010.0,10011,4861.123271
-9216.0,9217,4868.392989
-85900.0,85901,4939.547269
-13144.0,13145,4950.878663
-6026.0,6027,4955.881992
-88850.0,88851,5027.88735
-40238.0,40239,5060.712843
-852.0,853,5061.107398
-100001.0,100001,5142.651161
-94748.0,94749,5220.042079
-38412.0,38413,5251.839873
-100001.0,100001,5334.103739
-27294.0,27295,5356.206397
-11864.0,11865,5366.034889
-1650.0,1651,5367.497836
-74410.0,74411,5428.032593
-57494.0,57495,5474.965342
-9660.0,9661,5483.142437
-16276.0,16277,5496.410861
-184.0,185,5496.497908
-8852.0,8853,5503.437716
-84460.0,84461,5573.066692
-62294.0,62295,5625.39211
-56758.0,56759,5670.825303
-25284.0,25285,5691.595743
-100001.0,100001,5772.273834
-30004.0,30005,5795.968806
-39904.0,39905,5828.48869
-3872.0,3873,5831.666409
-71504.0,71505,5889.147293
-70898.0,70899,5945.62278
-100001.0,100001,6027.360661
-7456.0,7457,6033.695835
-1700.0,1701,6035.200692
-100001.0,100001,6116.885688
-30082.0,30083,6141.797269
-27826.0,27827,6164.330986
-16730.0,16731,6177.596613
-37068.0,37069,6207.255255
-16944.0,16945,6220.624283
-16700.0,16701,6233.858884
-36746.0,36747,6263.353267
-70750.0,70751,6321.323411
-10510.0,10511,6329.781383
-34554.0,34555,6357.919416
-100001.0,100001,6439.782483
-100001.0,100001,6521.53801
-20684.0,20685,6539.207535
-23898.0,23899,6558.5677
-100001.0,100001,6639.807736
-74944.0,74945,6700.531978
-100001.0,100001,6780.801024
-87002.0,87003,6852.010561
-100001.0,100001,6933.79909
-100001.0,100001,7015.762403
-55694.0,55695,7061.388165
-100001.0,100001,7144.259769
-51136.0,51137,7186.375578
-11004.0,11005,7195.026731
-100001.0,100001,7276.557271
-19384.0,19385,7292.007729
-58858.0,58859,7340.04961
-10392.0,10393,7348.457241
-46002.0,46003,7386.217274
-36872.0,36873,7416.146267
-88626.0,88627,7487.830606
-26742.0,26743,7509.401446
-41444.0,41445,7542.729845
-100001.0,100001,7624.049918
-67628.0,67629,7679.137506
-26958.0,26959,7701.056921
-33046.0,33047,7727.915967
-14948.0,14949,7740.612909
-100001.0,100001,7821.38109
-35152.0,35153,7850.508633
-49240.0,49241,7890.566088
-22162.0,22163,7908.005369
-22276.0,22277,7926.163352
-15442.0,15443,7939.012969
-77824.0,77825,8002.119534
-26746.0,26747,8023.78714
-854.0,855,8024.187961
-62538.0,62539,8075.171326
-100001.0,100001,8156.360748
-100001.0,100001,8237.506981
-60350.0,60351,8285.872797
-31012.0,31013,8310.74829
-10560.0,10561,8319.155448
-42066.0,42067,8353.396729
-87130.0,87131,8423.766773
-10206.0,10207,8432.050481
-11852.0,11853,8441.818869
-100001.0,100001,8522.792479
-91854.0,91855,8596.942565
-81720.0,81721,8663.024437
-82326.0,82327,8729.435956
-59638.0,59639,8777.627505
-81442.0,81443,8843.522858
-60112.0,60113,8891.771903
-1402.0,1403,8893.117163
-100001.0,100001,8973.79233
-39468.0,39469,9005.348759
-49350.0,49351,9045.047938
-36152.0,36153,9074.420127
-11600.0,11601,9083.291803
-29252.0,29253,9107.893033
-100001.0,100001,9188.078755
-100001.0,100001,9269.080106
-100001.0,100001,9350.437797
-1698.0,1699,9351.931115
-47522.0,47523,9390.2005
-37708.0,37709,9421.083186
-3658.0,3659,9423.495863
-100001.0,100001,9505.025862
-66314.0,66315,9560.024617
-69728.0,69729,9617.327404
-100001.0,100001,9699.87358
-100001.0,100001,9781.422817
-50320.0,50321,9822.558418
-20834.0,20835,9839.34187
-59952.0,59953,9887.941333
-79666.0,79667,9952.640583
-100001.0,100001,10034.431023
-41536.0,41537,10068.522502
-100001.0,100001,10150.338015
-12938.0,12939,10160.644718
-79160.0,79161,10225.969406
-87340.0,87341,10297.978712
-100001.0,100001,10380.556105
-32942.0,32943,10407.650031
-100001.0,100001,10490.246017
-21706.0,21707,10507.875753
-100001.0,100001,10590.808321
-100001.0,100001,10673.355315
-100001.0,100001,10755.57214
-100001.0,100001,10838.001097
-7498.0,7499,10844.503126
-31784.0,31785,10871.401755
-53872.0,53873,10915.293472
-32666.0,32667,10942.452222
-100001.0,100001,11025.788664
-100001.0,100001,11109.195899
-81278.0,81279,11175.195328
-100001.0,100001,11257.973024
-28554.0,28555,11281.352055
-12846.0,12847,11291.662877
-100001.0,100001,11373.311891
-42174.0,42175,11408.000698
-18404.0,18405,11423.047946
-34120.0,34121,11450.409908
-66952.0,66953,11505.314914
-4100.0,4101,11508.673152
-100001.0,100001,11590.483099
-53028.0,53029,11634.030477
-100001.0,100001,11716.868331
-100001.0,100001,11797.280834
-100001.0,100001,11879.223497
-100001.0,100001,11962.996478
-100001.0,100001,12044.0033
-100001.0,100001,12126.123198
-100001.0,100001,12209.521511
-100001.0,100001,12292.164928
-100001.0,100001,12374.058278
-90458.0,90459,12448.326847
-100001.0,100001,12530.803316
-57438.0,57439,12578.320451
-94858.0,94859,12657.353091
-100001.0,100001,12739.173565
-3140.0,3141,12742.113089
-100001.0,100001,12824.667524
-40250.0,40251,12857.257567
-68012.0,68013,12913.09967
-100001.0,100001,12995.605677
-4080.0,4081,12999.138896
-92018.0,92019,13075.707527
-12326.0,12327,13086.160597
-11090.0,11091,13096.132751
-45142.0,45143,13134.204974
-72470.0,72471,13194.298496
-55740.0,55741,13239.927068
-35186.0,35187,13268.984981
-100001.0,100001,13348.95766
-41676.0,41677,13383.065344
-100001.0,100001,13464.018355
-790.0,791,13464.387984
-35622.0,35623,13492.893762
-5108.0,5109,13497.394944
-61162.0,61163,13546.877236
-31474.0,31475,13572.16687
-41816.0,41817,13606.126436
-100001.0,100001,13685.779148
-53004.0,53005,13728.482002
-100001.0,100001,13810.154377
-100001.0,100001,13892.534139
-100001.0,100001,13973.864607
-100001.0,100001,14055.102354
-100001.0,100001,14135.966689
-46872.0,46873,14174.147531
-100001.0,100001,14255.729837
-100001.0,100001,14336.93863
-100001.0,100001,14418.410584
-100001.0,100001,14499.976284
-46996.0,46997,14538.463628
-100001.0,100001,14619.778154
-67312.0,67313,14674.697404
-92666.0,92667,14750.896631
-75398.0,75399,14811.746052
-100001.0,100001,14892.959557
-100001.0,100001,14975.328678
-100001.0,100001,15057.059447
-37120.0,37121,15087.412069
-100001.0,100001,15169.461724
-100001.0,100001,15250.96216
-100001.0,100001,15331.839267
-100001.0,100001,15414.02428
-100001.0,100001,15496.468194
-79874.0,79875,15562.01222
-62710.0,62711,15613.674236
-100001.0,100001,15695.336064
-62486.0,62487,15746.091774
-24468.0,24469,15766.145735
-100001.0,100001,15847.033965
-100001.0,100001,15927.592981
-100001.0,100001,16007.614419
-37446.0,37447,16038.28455
-100001.0,100001,16118.971445
-89878.0,89879,16190.633683
-100001.0,100001,16270.717343
-100001.0,100001,16352.119326
