#{"t_start": 1731870649.4306698, "env_id": "None"}
r,l,t
-1354.0,1355,1.772382
-5314.0,5315,6.396891
-3094.0,3095,8.560725
-14522.0,14523,20.290303
-15828.0,15829,33.144989
-12674.0,12675,43.170901
-4276.0,4277,46.636798
-25210.0,25211,67.633288
-1106.0,1107,68.158155
-8672.0,8673,75.025595
-7502.0,7503,81.332641
-800.0,801,82.406967
-21556.0,21557,99.499374
-5574.0,5575,104.1534
-7664.0,7665,109.770339
-21178.0,21179,127.290255
-4652.0,4653,130.82215
-5022.0,5023,135.240064
-38874.0,38875,166.702283
-3044.0,3045,168.841648
-296.0,297,168.986405
-9810.0,9811,177.089838
-5162.0,5163,180.89598
-19958.0,19959,197.326168
-23466.0,23467,216.704967
-19946.0,19947,232.381203
-15728.0,15729,245.312718
-15808.0,15809,258.582168
-920.0,921,259.016065
-2808.0,2809,261.690331
-2736.0,2737,263.66235
-5798.0,5799,268.439747
-15026.0,15027,280.329042
-7924.0,7925,286.859682
-13428.0,13429,298.02546
-3754.0,3755,300.493534
-648.0,649,301.499169
-520.0,521,301.743707
-12562.0,12563,311.795289
-2200.0,2201,313.549212
-2356.0,2357,315.380567
-7718.0,7719,321.877582
-2374.0,2375,323.71361
-11608.0,11609,333.355885
-1660.0,1661,334.847049
-18526.0,18527,349.932129
-7080.0,7081,355.394778
-1288.0,1289,356.714268
-594.0,595,356.996237
-478.0,479,357.228057
-182.0,183,358.018252
-4856.0,4857,361.733428
-9614.0,9615,369.787668
-8046.0,8047,375.70277
-1172.0,1173,376.964908
-1866.0,1867,378.553964
-1122.0,1123,379.795145
-5738.0,5739,383.911515
-4740.0,4741,388.258403
-42.0,43,388.278976
-3950.0,3951,391.552877
-812.0,813,391.941864
-11724.0,11725,401.575687
-1018.0,1019,402.052853
-17346.0,17347,416.464698
-11252.0,11253,425.265398
-14252.0,14253,436.691594
-2112.0,2113,438.361079
-228.0,229,438.467692
-4928.0,4929,442.805138
-3326.0,3327,445.090909
-432.0,433,446.00259
-2810.0,2811,448.057164
-2282.0,2283,449.811072
-2600.0,2601,451.746794
-2902.0,2903,454.524425
-6522.0,6523,459.733915
-3872.0,3873,462.969688
-2052.0,2053,464.645553
-6806.0,6807,469.960166
-816.0,817,471.027471
-2412.0,2413,472.842871
-1102.0,1103,473.360836
-282.0,283,473.49283
-10324.0,10325,481.860157
-4702.0,4703,486.123326
-2270.0,2271,487.865578
-1816.0,1817,489.406162
-3752.0,3753,492.521255
-4076.0,4077,495.782669
-4260.0,4261,499.127557
-2174.0,2175,500.82221
-9192.0,9193,507.843484
-494.0,495,508.076786
-258.0,259,508.871863
-622.0,623,509.164961
-2344.0,2345,510.932141
-7036.0,7037,516.245464
-2064.0,2065,517.883717
-4732.0,4733,522.123894
-2126.0,2127,523.792956
-1844.0,1845,525.335917
-26958.0,26959,546.765419
-3498.0,3499,549.757373
-546.0,547,550.016198
-2596.0,2597,551.916865
-3546.0,3547,554.935575
-3838.0,3839,558.091527
-310.0,311,558.236647
-1326.0,1327,558.863052
-7356.0,7357,565.165458
-742.0,743,565.521862
-364.0,365,566.391284
-1542.0,1543,567.13052
-3824.0,3825,570.357275
-3764.0,3765,573.5511
-3086.0,3087,576.421646
-2526.0,2527,578.334576
-2386.0,2387,580.176234
-860.0,861,580.587829
-1332.0,1333,581.926476
-3278.0,3279,584.892967
-3844.0,3845,588.115048
-212.0,213,588.215872
-1806.0,1807,589.775709
-3584.0,3585,592.176315
-1148.0,1149,593.42058
-1918.0,1919,595.032137
-2050.0,2051,596.710452
-670.0,671,597.033133
-1286.0,1287,598.349202
-6464.0,6465,603.549453
-4742.0,4743,607.14463
-392.0,393,607.331293
-1032.0,1033,608.488689
-4910.0,4911,612.188327
-1236.0,1237,613.479251
-7850.0,7851,619.945829
-1054.0,1055,620.440615
-1448.0,1449,621.799302
-932.0,933,622.23979
-350.0,351,623.084635
-2680.0,2681,625.054798
-786.0,787,625.4303
-590.0,591,626.410124
-6036.0,6037,631.363569
-11692.0,11693,640.343767
-7644.0,7645,646.683455
-3066.0,3067,648.807459
-4886.0,4887,653.167661
-310.0,311,653.311939
-378.0,379,653.494764
-2272.0,2273,655.27156
-1068.0,1069,656.457214
-4334.0,4335,659.884858
-2998.0,2999,661.985651
-9586.0,9587,669.98729
-980.0,981,671.162234
-8758.0,8759,678.001705
-8130.0,8131,684.558333
-8120.0,8121,691.290932
-2580.0,2581,693.230391
-11824.0,11825,703.078062
-4808.0,4809,706.784092
-2950.0,2951,709.605455
-2050.0,2051,711.297189
-69082.0,69083,766.90067
-57540.0,57541,813.868948
-38922.0,38923,845.864255
-8952.0,8953,853.693859
-14432.0,14433,865.408689
-5702.0,5703,870.140722
-10654.0,10655,878.60401
-738.0,739,878.960757
-288.0,289,879.101779
-14544.0,14545,890.969186
-5660.0,5661,895.789305
-8676.0,8677,902.618307
-58.0,59,902.646354
-60540.0,60541,952.030588
-17104.0,17105,965.562318
-6408.0,6409,970.66074
-100001.0,100001,1051.226704
-100001.0,100001,1131.860879
-83366.0,83367,1200.100304
-64354.0,64355,1251.492625
-9828.0,9829,1259.514395
-10246.0,10247,1267.734704
-68782.0,68783,1323.139831
-1852.0,1853,1324.69577
-7028.0,7029,1330.041236
-438.0,439,1330.245138
-3026.0,3027,1333.015122
-5310.0,5311,1336.863393
-3502.0,3503,1339.868006
-3276.0,3277,1342.780321
-2572.0,2573,1344.665156
-552.0,553,1344.925296
-7192.0,7193,1351.00723
-5770.0,5771,1355.056219
-2540.0,2541,1357.598908
-336.0,337,1357.759673
-246.0,247,1357.874377
-3682.0,3683,1360.959174
-1502.0,1503,1362.342282
-1486.0,1487,1363.035597
-3370.0,3371,1365.965861
-23052.0,23053,1384.19571
-23304.0,23305,1403.132878
-582.0,583,1403.408581
-2552.0,2553,1405.262093
-5002.0,5003,1408.941256
-2450.0,2451,1411.436042
-172.0,173,1411.515763
-23428.0,23429,1429.734887
-616.0,617,1430.689624
-12334.0,12335,1440.36599
-12892.0,12893,1450.31859
-9678.0,9679,1458.11117
-18504.0,18505,1472.785821
-2480.0,2481,1474.60514
-168.0,169,1474.682433
-6034.0,6035,1479.468993
-1430.0,1431,1480.788616
-13780.0,13781,1491.138403
-2596.0,2597,1493.670724
-12110.0,12111,1502.593814
-20578.0,20579,1518.95397
-4676.0,4677,1523.240273
-8424.0,8425,1529.985245
-16896.0,16897,1543.231466
-10184.0,10185,1551.241251
-7406.0,7407,1557.377711
-4340.0,4341,1560.70499
-10396.0,10397,1568.791572
-12476.0,12477,1578.577427
-57932.0,57933,1623.933739
-7216.0,7217,1629.893214
-27846.0,27847,1651.384021
-8110.0,8111,1657.748216
-2276.0,2277,1660.197076
-1168.0,1169,1660.740203
-16524.0,16525,1673.704967
-5178.0,5179,1678.080043
-3074.0,3075,1680.211068
-1400.0,1401,1681.561027
-1296.0,1297,1682.165615
-8470.0,8471,1689.583716
-10694.0,10695,1698.046603
-7018.0,7019,1703.434141
-37262.0,37263,1733.079944
-21648.0,21649,1750.468326
-8170.0,8171,1756.898064
-19084.0,19085,1771.999164
-8194.0,8195,1778.552114
-2068.0,2069,1780.18891
-2536.0,2537,1782.744225
-19010.0,19011,1797.757774
-230.0,231,1797.864173
-4114.0,4115,1801.138494
-4030.0,4031,1804.374681
-860.0,861,1804.774052
-2660.0,2661,1807.371033
-738.0,739,1807.717275
-7208.0,7209,1813.853378
-14102.0,14103,1824.557644
-27468.0,27469,1847.057927
-23810.0,23811,1865.793425
-9594.0,9595,1873.730959
-7412.0,7413,1879.986135
-6524.0,6525,1885.100888
-8988.0,8989,1892.067281
-10346.0,10347,1900.365402
-9680.0,9681,1908.276141
-2576.0,2577,1910.17356
-14284.0,14285,1921.699664
-264.0,265,1922.503822
-18552.0,18553,1937.313725
-7430.0,7431,1942.832707
-5468.0,5469,1947.411679
-5410.0,5411,1951.994045
-708.0,709,1952.327472
-10662.0,10663,1960.71747
-3596.0,3597,1963.744291
-1394.0,1395,1965.07638
-2538.0,2539,1966.937013
-6950.0,6951,1972.249169
-16998.0,16999,1985.635443
-2030.0,2031,1987.26728
-2010.0,2011,1988.894983
-13524.0,13525,2000.07477
-1076.0,1077,2001.269046
-8868.0,8869,2008.201673
-2520.0,2521,2010.075181
-2948.0,2949,2012.794047
-4466.0,4467,2016.209424
-6740.0,6741,2021.309624
-838.0,839,2021.694387
-1076.0,1077,2022.860876
-2816.0,2817,2024.83342
-18548.0,18549,2039.661895
-14762.0,14763,2052.113662
-3210.0,3211,2054.28786
-3634.0,3635,2057.2895
-3226.0,3227,2060.211895
-3422.0,3423,2062.508785
-39896.0,39897,2094.76199
-8416.0,8417,2101.491098
-5944.0,5945,2106.378454
-1012.0,1013,2106.85462
-2786.0,2787,2109.531113
-11676.0,11677,2118.523192
-5368.0,5369,2123.170982
-25190.0,25191,2143.110176
-1358.0,1359,2144.419706
-7958.0,7959,2150.783138
-13302.0,13303,2160.969103
-5970.0,5971,2165.72661
-3470.0,3471,2168.668723
-1218.0,1219,2169.231699
-4964.0,4965,2173.564634
-20050.0,20051,2189.555802
-100001.0,100001,2268.220327
-71308.0,71309,2324.805596
-61784.0,61785,2373.421368
-6918.0,6919,2379.272154
-4576.0,4577,2382.701513
-11316.0,11317,2391.8868
-2520.0,2521,2393.70997
-66.0,67,2393.740312
-24370.0,24371,2412.901957
-5236.0,5237,2416.639346
-6426.0,6427,2421.580834
-3510.0,3511,2424.533045
-15178.0,15179,2436.884697
-13188.0,13189,2446.975329
-2380.0,2381,2448.738669
-4900.0,4901,2453.005985
-15744.0,15745,2464.923151
-13164.0,13165,2475.640013
-6950.0,6951,2480.88668
-2784.0,2785,2482.870888
-8240.0,8241,2489.321406
-668.0,669,2490.299667
-6716.0,6717,2495.387428
-412.0,413,2495.578271
-7718.0,7719,2501.833486
-5624.0,5625,2506.507848
-1226.0,1227,2507.070526
-27726.0,27727,2529.377099
-11508.0,11509,2538.738629
-7308.0,7309,2544.161083
-7506.0,7507,2550.480311
-7506.0,7507,2556.043765
-100001.0,100001,2635.847513
-55148.0,55149,2679.671066
-44352.0,44353,2714.787311
-2804.0,2805,2716.732849
-12202.0,12203,2726.48864
-7214.0,7215,2732.503254
-3012.0,3013,2734.546808
-27066.0,27067,2756.096268
-12608.0,12609,2766.849079
-2654.0,2655,2768.777858
-71232.0,71233,2825.685232
-21520.0,21521,2842.1838
-21226.0,21227,2858.544785
-14904.0,14905,2870.682722
-3628.0,3629,2873.664953
-6944.0,6945,2878.928663
-7002.0,7003,2884.269246
-6516.0,6517,2890.092291
-10180.0,10181,2898.320068
-26406.0,26407,2918.987831
-19536.0,19537,2935.077551
-2918.0,2919,2937.137934
-8146.0,8147,2943.727208
-3094.0,3095,2946.565104
-4606.0,4607,2950.109158
-2628.0,2629,2952.03112
-20382.0,20383,2968.617231
-8334.0,8335,2975.099561
-328.0,329,2975.925545
-16664.0,16665,2988.884093
-10898.0,10899,2997.222367
-7240.0,7241,3003.208092
-10704.0,10705,3011.431508
-2320.0,2321,3013.155348
-1096.0,1097,3013.660568
-1506.0,1507,3015.014945
-24238.0,24239,3034.119237
-3172.0,3173,3036.907003
-20542.0,20543,3052.990397
-7434.0,7435,3058.389198
-5654.0,5655,3062.989834
-54.0,55,3063.015029
-10236.0,10237,3071.030687
-10074.0,10075,3078.981102
-12296.0,12297,3088.845197
-9438.0,9439,3096.757646
-4280.0,4281,3100.153353
-18360.0,18361,3115.028905
-2906.0,2907,3117.091039
-17708.0,17709,3131.681583
-11236.0,11237,3140.433036
-25644.0,25645,3161.496165
-1054.0,1055,3161.985146
-1006.0,1007,3163.154351
-5844.0,5845,3167.951791
-6276.0,6277,3172.880004
-10664.0,10665,3181.37156
-18026.0,18027,3196.137968
-16844.0,16845,3209.634065
-10016.0,10017,3217.819928
-23114.0,23115,3236.30646
-8864.0,8865,3243.228878
-11748.0,11749,3252.640425
-3372.0,3373,3255.517359
-1876.0,1877,3257.041979
-8452.0,8453,3263.575991
-2508.0,2509,3265.388192
-8544.0,8545,3271.987686
-12186.0,12187,3281.563687
-2200.0,2201,3283.238019
-33776.0,33777,3310.064334
-5072.0,5073,3313.71851
-52610.0,52611,3355.136338
-7118.0,7119,3360.387988
-3370.0,3371,3363.263223
-10334.0,10335,3371.37115
-20514.0,20515,3387.440022
-29506.0,29507,3410.257893
-6948.0,6949,3416.10878
-8154.0,8155,3422.492352
-3062.0,3063,3424.557798
-10144.0,10145,3432.546804
-2708.0,2709,3435.121461
-11334.0,11335,3443.650369
-1862.0,1863,3445.169912
-7484.0,7485,3451.277584
-6050.0,6051,3456.048064
-256.0,257,3456.164157
-7606.0,7607,3462.311333
-16284.0,16285,3474.425175
-8032.0,8033,3480.766802
-1662.0,1663,3482.200774
-5330.0,5331,3486.636418
-14378.0,14379,3497.888622
-3246.0,3247,3500.031796
-9978.0,9979,3507.925711
-3728.0,3729,3510.972966
-19522.0,19523,3526.591851
-13500.0,13501,3536.827162
-4782.0,4783,3541.027222
-2288.0,2289,3542.752118
-1536.0,1537,3543.450271
-6636.0,6637,3549.156002
-8544.0,8545,3555.750772
-3792.0,3793,3558.819267
-13004.0,13005,3568.767619
-1200.0,1201,3569.984096
-1230.0,1231,3570.551473
-5534.0,5535,3575.088599
-4784.0,4785,3578.613183
-7018.0,7019,3584.537161
-2120.0,2121,3586.172449
-9528.0,9529,3593.197658
-2130.0,2131,3594.83918
-4862.0,4863,3599.069354
-12526.0,12527,3608.786527
-20192.0,20193,3625.143291
-53584.0,53585,3668.429361
-11766.0,11767,3678.037258
-21246.0,21247,3694.883284
-7648.0,7649,3701.180974
-17212.0,17213,3714.648384
-7264.0,7265,3720.767696
-14654.0,14655,3732.373454
-15494.0,15495,3744.354658
-4358.0,4359,3748.445179
-294.0,295,3748.580028
-6956.0,6957,3753.857937
-2716.0,2717,3755.79512
-4036.0,4037,3759.034872
-3112.0,3113,3761.843321
-2882.0,2883,3763.864053
-13298.0,13299,3774.819621
-21392.0,21393,3791.561626
-24486.0,24487,3811.145343
-5868.0,5869,3815.921742
-7486.0,7487,3822.14082
-8438.0,8439,3828.799438
-11136.0,11137,3837.376386
-2766.0,2767,3840.050626
-5774.0,5775,3844.732482
-25230.0,25231,3864.449353
-8318.0,8319,3870.988444
-3156.0,3157,3873.10949
-5550.0,5551,3877.696219
-5774.0,5775,3882.390884
-7414.0,7415,3888.509897
-1024.0,1025,3888.97733
-6482.0,6483,3893.992544
-25082.0,25083,3913.786967
-18052.0,18053,3928.198574
-9894.0,9895,3936.149192
-1500.0,1501,3937.525901
-1538.0,1539,3938.91441
-8056.0,8057,3945.334726
-2954.0,2955,3947.371784
-6806.0,6807,3952.578154
-15520.0,15521,3965.278451
-5416.0,5417,3969.846685
-16394.0,16395,3982.92264
-2986.0,2987,3984.985157
-7734.0,7735,3991.382784
-7022.0,7023,3996.756728
-7704.0,7705,4003.134107
-8606.0,8607,4009.915933
-2476.0,2477,4011.766506
-4452.0,4453,4015.937945
-14030.0,14031,4026.691451
-8300.0,8301,4033.380889
-11592.0,11593,4043.01031
-17936.0,17937,4057.636268
-2118.0,2119,4059.31849
-3450.0,3451,4062.315138
-1108.0,1109,4062.827788
-22562.0,22563,4080.952245
-11792.0,11793,4090.592803
-10666.0,10667,4099.01823
-2844.0,2845,4101.728408
-876.0,877,4102.137534
-6632.0,6633,4107.304764
-5512.0,5513,4111.957277
-4744.0,4745,4115.552352
-668.0,669,4116.559826
-4870.0,4871,4120.220511
-9696.0,9697,4128.207166
-2424.0,2425,4130.028504
-1792.0,1793,4131.559174
-1460.0,1461,4132.238151
-2246.0,2247,4134.67944
-4740.0,4741,4138.273443
-7466.0,7467,4143.821236
-1620.0,1621,4145.256751
-7060.0,7061,4151.269684
-5106.0,5107,4155.005723
-1372.0,1373,4156.329392
-9784.0,9785,4164.338607
-3974.0,3975,4167.579663
-3012.0,3013,4169.668335
-42.0,43,4169.688363
-6054.0,6055,4174.582571
-6572.0,6573,4179.707493
-3828.0,3829,4182.877
-932.0,933,4184.003926
-2238.0,2239,4185.733536
-182.0,183,4185.81729
-5474.0,5475,4189.716307
-2106.0,2107,4191.375232
-5486.0,5487,4195.98328
-3998.0,3999,4199.211067
-2106.0,2107,4200.874355
-198.0,199,4200.965106
-6026.0,6027,4205.847692
-1072.0,1073,4207.038956
-3246.0,3247,4209.246706
-312.0,313,4209.394599
-11006.0,11007,4218.654171
-5718.0,5719,4223.355295
-3068.0,3069,4225.461403
-2108.0,2109,4227.130965
-3882.0,3883,4230.327781
-4384.0,4385,4233.745805
-366.0,367,4233.913226
-14924.0,14925,4246.401383
-3048.0,3049,4248.51328
-8104.0,8105,4255.066111
-5988.0,5989,4259.93886
-14148.0,14149,4271.393981
-740.0,741,4271.74177
-2662.0,2663,4274.375786
-9220.0,9221,4281.440536
-3000.0,3001,4284.226595
-118.0,119,4284.281848
-10908.0,10909,4292.833096
-500.0,501,4293.068445
-3814.0,3815,4296.224603
-3026.0,3027,4299.01516
-2262.0,2263,4300.771752
-1646.0,1647,4301.538103
-4818.0,4819,4305.882218
-2638.0,2639,4307.81123
-1964.0,1965,4309.420635
-6006.0,6007,4314.304194
-1994.0,1995,4315.931428
-12814.0,12815,4326.088595
-5866.0,5867,4330.893713
-7226.0,7227,4337.044752
-1568.0,1569,4337.771454
-2886.0,2887,4340.504973
-4266.0,4267,4343.878278
-5542.0,5543,4348.540579
-3380.0,3381,4350.802959
-6170.0,6171,4355.759464
-8558.0,8559,4362.523254
-326.0,327,4363.368381
-6580.0,6581,4368.525927
-2310.0,2311,4370.296363
-4816.0,4817,4373.932757
-6658.0,6659,4379.119425
-4222.0,4223,4383.177669
-1304.0,1305,4383.785327
-3840.0,3841,4386.96422
-8918.0,8919,4393.899744
-20108.0,20109,4410.204831
-746.0,747,4411.250493
-3178.0,3179,4413.422623
-4470.0,4471,4416.902974
-2004.0,2005,4418.531274
-4192.0,4193,4421.870049
-4800.0,4801,4426.144249
-7182.0,7183,4431.586898
-3912.0,3913,4434.740585
-692.0,693,4435.060426
-3982.0,3983,4438.27472
-2230.0,2231,4440.677678
-1862.0,1863,4441.537276
-1006.0,1007,4442.686455
-616.0,617,4442.975952
-12898.0,12899,4453.761268
-1484.0,1485,4454.444994
-3094.0,3095,4457.241734
-5568.0,5569,4461.186473
-3782.0,3783,4464.299468
-1988.0,1989,4465.902598
-14874.0,14875,4478.258545
-10826.0,10827,4486.716361
-1600.0,1601,4488.140967
-190.0,191,4488.228822
-456.0,457,4488.443957
-1320.0,1321,4489.740907
-4074.0,4075,4492.999903
-1096.0,1097,4493.511929
-2028.0,2029,4495.1373
-12900.0,12901,4505.232662
-12946.0,12947,4516.107465
-16278.0,16279,4529.152287
-11286.0,11287,4537.835131
-698.0,699,4538.845728
-7216.0,7217,4544.271931
-744.0,745,4544.612648
-12168.0,12169,4554.374994
-228.0,229,4554.480427
-296.0,297,4555.304951
-548.0,549,4555.562614
-3362.0,3363,4558.490844
-1096.0,1097,4558.998385
-13270.0,13271,4569.953929
-56.0,57,4569.980428
-11322.0,11323,4578.742842
-8176.0,8177,4585.286738
-1474.0,1475,4586.659249
-8068.0,8069,4593.112413
-322.0,323,4593.260235
-2292.0,2293,4594.997587
-8694.0,8695,4601.727251
-10802.0,10803,4610.917403
-16230.0,16231,4623.407979
-28692.0,28693,4646.302512
-368.0,369,4647.15797
-2644.0,2645,4649.061004
-7284.0,7285,4654.496784
-2558.0,2559,4657.059021
-1950.0,1951,4658.650383
-23770.0,23771,4677.250046
-9170.0,9171,4684.942267
-17388.0,17389,4698.521278
-8942.0,8943,4706.122896
-45984.0,45985,4742.350133
-1206.0,1207,4743.587907
-15384.0,15385,4755.549197
-5188.0,5189,4759.9932
-5176.0,5177,4763.8114
-742.0,743,4764.866933
-44.0,45,4764.888086
-2624.0,2625,4766.821699
-6470.0,6471,4771.952224
-7426.0,7427,4778.241298
-5338.0,5339,4782.14486
-52.0,53,4782.1696
-398.0,399,4783.070767
-2212.0,2213,4784.802584
-3654.0,3655,4787.21012
-2994.0,2995,4790.013265
-6056.0,6057,4794.991009
-8772.0,8773,4801.884903
-6708.0,6709,4807.119996
-544.0,545,4808.082363
-958.0,959,4808.528043
-4436.0,4437,4812.001306
-19058.0,19059,4827.944541
-3494.0,3495,4830.286206
-42.0,43,4830.306104
-3632.0,3633,4833.405451
-1564.0,1565,4834.846533
-4686.0,4687,4838.446188
-1012.0,1013,4839.628404
-11194.0,11195,4848.375238
-1338.0,1339,4849.703972
-6908.0,6909,4854.982858
-6990.0,6991,4860.893959
-776.0,777,4861.250877
-11726.0,11727,4870.669207
-2858.0,2859,4872.661354
-448.0,449,4872.870311
-6338.0,6339,4877.800853
-1200.0,1201,4879.025297
-4166.0,4167,4882.277401
-15186.0,15187,4893.984427
-44.0,45,4894.005081
-1932.0,1933,4895.565953
-3136.0,3137,4898.357228
-3442.0,3443,4901.284147
-8244.0,8245,4907.756418
-9678.0,9679,4914.904136
-6018.0,6019,4919.688017
-3244.0,3245,4922.51964
-20982.0,20983,4938.859862
-13178.0,13179,4949.626843
-26972.0,26973,4970.739988
-40894.0,40895,5002.9514
-22172.0,22173,5019.840752
-6566.0,6567,5025.546101
-190.0,191,5025.632587
-16756.0,16757,5038.698029
-7716.0,7717,5044.935092
-6740.0,6741,5050.053866
-16664.0,16665,5063.089536
-23674.0,23675,5082.040385
-7984.0,7985,5088.408239
-17128.0,17129,5101.658283
-16512.0,16513,5114.655595
-17504.0,17505,5128.74564
-4702.0,4703,5132.258695
-1710.0,1711,5133.760823
-3828.0,3829,5136.964862
-124.0,125,5137.022728
-912.0,913,5137.449315
-8242.0,8243,5144.144601
-3284.0,3285,5147.096071
-3036.0,3037,5149.224491
-3136.0,3137,5152.100955
-1154.0,1155,5152.635243
-21184.0,21185,5170.028658
-7362.0,7363,5175.424945
-2572.0,2573,5177.950168
-666.0,667,5178.256954
-2302.0,2303,5179.984562
-3234.0,3235,5182.823384
-10282.0,10283,5190.901192
-14662.0,14663,5202.336256
-4496.0,4497,5205.741151
-362.0,363,5205.904907
-9324.0,9325,5213.642453
-452.0,453,5213.847327
-4182.0,4183,5217.146881
-21080.0,21081,5233.756225
-4578.0,4579,5237.255347
-5670.0,5671,5241.944559
