#{"t_start": 1731862099.146271, "env_id": "None"}
r,l,t
-406.0,407,4.622816
-1914.0,1915,7.979131
-1960.0,1961,11.182356
-898.0,899,11.619704
-2350.0,2351,16.472388
-448.0,449,16.69521
-292.0,293,17.593873
-1840.0,1841,18.512793
-6278.0,6279,24.541302
-7932.0,7933,31.151363
-1492.0,1493,32.648894
-6038.0,6039,40.856572
-5384.0,5385,47.82006
-7262.0,7263,54.809197
-17134.0,17135,69.937775
-4126.0,4127,73.444292
-2134.0,2135,75.243081
-9564.0,9565,83.189265
-3018.0,3019,86.408323
-7850.0,7851,101.894001
-5058.0,5059,110.424977
-7902.0,7903,117.223006
-2624.0,2625,119.267585
-1388.0,1389,121.328317
-7312.0,7313,127.187014
-11304.0,11305,141.712928
-7764.0,7765,149.834449
-4648.0,4649,153.619648
-14054.0,14055,165.830997
-8056.0,8057,172.793918
-6838.0,6839,179.081978
-9204.0,9205,200.232522
-16306.0,16307,216.781854
-13642.0,13643,231.562076
-1758.0,1759,234.46726
-7666.0,7667,241.127317
-7194.0,7195,246.942698
-9536.0,9537,255.406451
-9258.0,9259,263.664834
-17640.0,17641,285.968697
-6984.0,6985,297.330899
-19088.0,19089,316.035104
-5856.0,5857,323.166202
-1518.0,1519,324.652191
-8814.0,8815,333.354338
-972.0,973,333.833271
-2272.0,2273,335.691874
-3662.0,3663,339.003865
-800.0,801,340.146469
-9126.0,9127,347.788449
-10014.0,10015,356.469961
-2218.0,2219,358.669725
-8976.0,8977,368.542342
-1806.0,1807,370.195234
-852.0,853,373.338233
-9540.0,9541,386.978096
-12360.0,12361,399.515411
-19406.0,19407,422.006165
-16434.0,16435,435.972688
-11864.0,11865,446.235364
-14394.0,14395,459.155308
-29102.0,29103,484.420733
-11114.0,11115,493.464808
-3714.0,3715,496.83289
-7184.0,7185,503.343265
-53546.0,53547,555.014046
-1958.0,1959,560.249112
-19174.0,19175,577.997376
-20606.0,20607,599.214325
-100001.0,100001,699.142342
-75826.0,75827,784.850655
-21380.0,21381,804.127064
-14666.0,14667,820.06624
-42430.0,42431,874.014998
-5180.0,5181,878.843089
-82070.0,82071,968.879194
-180.0,181,968.971305
-15392.0,15393,982.71197
-4658.0,4659,986.524533
-3232.0,3233,988.901559
-1838.0,1839,990.899268
-9294.0,9295,1001.859392
-14390.0,14391,1018.577644
-5384.0,5385,1024.46232
-12170.0,12171,1044.410704
-6074.0,6075,1050.523335
-4722.0,4723,1055.151695
-7710.0,7711,1062.009994
-19512.0,19513,1078.417848
-144.0,145,1078.490203
-19884.0,19885,1101.56467
-3332.0,3333,1106.592307
-4002.0,4003,1109.324718
-18612.0,18613,1139.409853
-20826.0,20827,1157.28274
-2228.0,2229,1159.124032
-2576.0,2577,1161.134637
-2274.0,2275,1163.01862
-5894.0,5895,1168.159329
-13516.0,13517,1183.62325
-4860.0,4861,1190.127182
-992.0,993,1191.347084
-312.0,313,1191.503488
-472.0,473,1191.737095
-1168.0,1169,1192.326606
-1530.0,1531,1195.264924
-1374.0,1375,1196.702837
-2106.0,2107,1198.481416
-2252.0,2253,1200.34415
-9788.0,9789,1211.901171
-162.0,163,1211.982576
-10480.0,10481,1229.670946
-704.0,705,1230.019604
-14682.0,14683,1243.215544
-482.0,483,1243.455783
-760.0,761,1243.840426
-66.0,67,1243.874146
-1054.0,1055,1245.131139
-8720.0,8721,1252.310373
-5074.0,5075,1256.233711
-3952.0,3953,1259.611628
-4804.0,4805,1264.495591
-3308.0,3309,1266.844817
-338.0,339,1267.01248
-2248.0,2249,1272.245638
-10440.0,10441,1285.426305
-7422.0,7423,1291.209417
-9564.0,9565,1304.488425
-7808.0,7809,1313.442983
-1716.0,1717,1316.839304
-852.0,853,1317.260298
-800.0,801,1317.647332
-7454.0,7455,1324.1294
-17580.0,17581,1339.38865
