#{"t_start": 1731614381.3572967, "env_id": "None"}
r,l,t
-5370.0,5371,10.147458
-30742.0,30743,66.863749
-9334.0,9335,84.932783
-9998.0,9999,103.492705
-16722.0,16723,134.261487
-7044.0,7045,146.382042
-2656.0,2657,150.72363
-636.0,637,152.984378
-172.0,173,153.162235
-15058.0,15059,180.332799
-5638.0,5639,190.964247
-10108.0,10109,209.607487
-9916.0,9917,228.046579
-2928.0,2929,232.6766
-15616.0,15617,262.107
-1086.0,1087,263.214343
-3874.0,3875,270.368791
-754.0,755,272.740504
-3236.0,3237,277.640896
-2296.0,2297,281.579682
-1594.0,1595,285.016428
-14392.0,14393,311.243471
-2630.0,2631,315.504172
-2266.0,2267,321.017559
-1476.0,1477,322.514601
-5654.0,5655,333.060944
-10528.0,10529,351.933979
-3120.0,3121,358.288123
-2964.0,2965,362.900067
-3534.0,3535,369.680155
-3610.0,3611,376.527726
-5686.0,5687,385.372421
-604.0,605,387.590332
-496.0,497,388.093377
-426.0,427,388.526133
-1360.0,1361,391.497714
-12182.0,12183,413.820641
-3260.0,3261,418.748465
-4688.0,4689,428.35593
-1340.0,1341,429.719987
-722.0,723,432.121193
-1432.0,1433,433.588926
-3074.0,3075,439.973097
-70.0,71,440.045395
-1362.0,1363,443.043414
-1348.0,1349,444.418651
-6170.0,6171,455.553864
-12968.0,12969,480.582811
-23014.0,23015,522.515136
-4128.0,4129,529.940053
-2096.0,2097,533.672237
-14098.0,14099,559.600783
-5116.0,5117,568.013898
-8558.0,8559,583.301987
-2604.0,2605,589.169314
-4860.0,4861,597.315309
-26074.0,26075,645.69688
-7380.0,7381,658.061209
-7402.0,7403,672.125036
-7238.0,7239,684.349445
-6498.0,6499,697.632922
-10594.0,10595,716.623082
-21344.0,21345,754.973866
-8670.0,8671,770.35601
-5356.0,5357,780.652421
-10652.0,10653,799.864725
-3204.0,3205,806.337672
-1500.0,1501,809.643952
-386.0,387,810.036772
-6140.0,6141,821.089191
-1940.0,1941,824.68211
-1036.0,1037,825.735923
-4320.0,4321,833.328206
-10212.0,10213,851.976734
-3308.0,3309,858.569255
-4446.0,4447,866.348417
-3564.0,3565,873.270357
-9792.0,9793,891.661882
-33728.0,33729,953.091783
-13756.0,13757,979.020513
-1736.0,1737,982.402172
-546.0,547,982.957953
-9394.0,9395,1000.939978
-2466.0,2467,1005.061002
-11938.0,11939,1027.129158
-2418.0,2419,1031.196728
-20660.0,20661,1068.912432
-100.0,101,1069.016662
-4518.0,4519,1076.823344
-9846.0,9847,1095.236706
-11028.0,11029,1114.716124
-1286.0,1287,1117.653545
-7626.0,7627,1132.016782
-1570.0,1571,1133.622541
-5524.0,5525,1144.199057
-5552.0,5553,1154.910527
-12774.0,12775,1178.012759
-3258.0,3259,1184.592723
-2232.0,2233,1188.478871
-10020.0,10021,1207.024476
-4912.0,4913,1215.300367
-3356.0,3357,1221.989034
-13848.0,13849,1246.204716
-1234.0,1235,1249.104648
-23756.0,23757,1293.784075
-146.0,147,1293.93838
-2620.0,2621,1298.230182
-100001.0,100001,1485.927786
-8578.0,8579,1501.525445
-1698.0,1699,1505.115319
-1438.0,1439,1508.259459
-67546.0,67547,1634.961535
-30744.0,30745,1692.715713
-4832.0,4833,1701.040242
-4592.0,4593,1709.084488
-9978.0,9979,1727.93834
-2430.0,2431,1732.092234
-11166.0,11167,1753.755683
-728.0,729,1754.499723
-2276.0,2277,1758.487604
-21972.0,21973,1799.858825
-1974.0,1975,1803.55095
-9292.0,9293,1819.784056
-29030.0,29031,1875.477477
-4438.0,4439,1883.332122
-3228.0,3229,1888.261464
-830.0,831,1890.756584
-7946.0,7947,1905.590279
-878.0,879,1906.486712
-5818.0,5819,1917.486989
-60.0,61,1917.549582
-3114.0,3115,1922.399548
-14264.0,14265,1948.786343
-94.0,95,1948.884096
-2870.0,2871,1955.081559
-2366.0,2367,1959.142914
-138.0,139,1959.285143
-7286.0,7287,1973.378403
-652.0,653,1974.046863
-362.0,363,1974.417974
-1356.0,1357,1977.452454
-3544.0,3545,1982.709142
-864.0,865,1985.224756
-11796.0,11797,2007.292454
-5724.0,5725,2016.420942
-2664.0,2665,2022.421199
-2314.0,2315,2026.42343
-4394.0,4395,2034.183667
-720.0,721,2034.918764
-4928.0,4929,2045.267708
-1984.0,1985,2048.924674
-4118.0,4119,2056.405035
-1348.0,1349,2057.77986
-3168.0,3169,2064.306761
-942.0,943,2065.267151
-1024.0,1025,2067.945461
-1650.0,1651,2071.267587
-8182.0,8183,2086.270048
-4590.0,4591,2094.241485
-9680.0,9681,2112.638542
-5128.0,5129,2121.164128
-106.0,107,2121.273643
-16228.0,16229,2151.317947
-840.0,841,2153.823233
-15682.0,15683,2181.631244
-2462.0,2463,2185.812153
-1286.0,1287,2188.77989
-9816.0,9817,2207.210783
-7268.0,7269,2219.776732
-2534.0,2535,2225.862923
-200.0,201,2226.06739
-196.0,197,2226.267557
-1498.0,1499,2229.452604
-46974.0,46975,2316.831203
-11704.0,11705,2337.157238
-1794.0,1795,2340.639058
-5682.0,5683,2351.382391
-1444.0,1445,2354.501604
-3718.0,3719,2359.941786
-538.0,539,2362.153891
-6298.0,6299,2373.571224
-1024.0,1025,2374.613494
-9006.0,9007,2392.218898
-1796.0,1797,2395.876333
-3146.0,3147,2400.937523
-6138.0,6139,2412.192914
-1878.0,1879,2415.755701
-1302.0,1303,2418.742016
-334.0,335,2419.091378
-1358.0,1359,2420.475375
-3568.0,3569,2427.420003
-470.0,471,2427.898862
-840.0,841,2430.417097
-4400.0,4401,2438.229842
-7252.0,7253,2452.383415
-1118.0,1119,2453.523332
-72.0,73,2453.59775
-1274.0,1275,2456.572315
-378.0,379,2456.958138
-3018.0,3019,2461.703899
-3494.0,3495,2468.608034
-378.0,379,2468.994079
-1650.0,1651,2472.345476
-7400.0,7401,2486.654448
