#{"t_start": 1731447399.6561358, "env_id": "None"}
r,l,t
-9688.0,9689,8.169736
-5884.0,5885,12.925904
-790.0,791,13.31007
-2052.0,2053,14.986761
-10724.0,10725,23.947008
-3518.0,3519,26.240544
-970.0,971,27.36501
-3134.0,3135,29.480976
-14992.0,14993,41.786726
-264.0,265,41.908363
-6012.0,6013,46.693018
-2816.0,2817,48.66022
-5662.0,5663,53.290145
-2900.0,2901,55.297148
-9390.0,9391,62.998148
-342.0,343,63.156774
-6314.0,6315,68.102971
-186.0,187,68.190149
-7156.0,7157,74.180217
-73570.0,73571,132.269389
-7884.0,7885,138.600038
-800.0,801,138.967954
-2926.0,2927,140.985735
-3704.0,3705,144.049767
-4050.0,4051,147.271338
-3750.0,3751,150.349944
-10002.0,10003,158.317663
-6930.0,6931,163.521547
-2050.0,2051,165.140327
-14288.0,14289,176.417451
-8400.0,8401,182.973361
-1840.0,1841,184.494651
-798.0,799,185.533338
-19626.0,19627,200.625465
-6812.0,6813,206.449398
-6614.0,6615,211.511682
-1770.0,1771,212.998917
-140.0,141,213.06442
-14374.0,14375,224.400324
-21700.0,21701,241.080951
-364.0,365,241.919645
-3938.0,3939,244.408066
-5576.0,5577,248.98736
-206.0,207,249.08272
-1568.0,1569,250.480325
-900.0,901,250.892654
-2224.0,2225,253.25864
-1028.0,1029,253.730482
-5266.0,5267,258.173736
-8978.0,8979,264.990031
-5936.0,5937,269.733579
-3318.0,3319,272.610402
-4246.0,4247,275.904757
-250.0,251,276.020277
-992.0,993,276.476029
-5874.0,5875,281.209596
-7736.0,7737,287.490768
-1440.0,1441,288.833916
-31798.0,31799,313.537621
-7896.0,7897,319.865062
-2766.0,2767,321.815312
-1956.0,1957,323.389392
-2360.0,2361,325.152597
-6034.0,6035,329.944056
-5958.0,5959,334.714262
-5818.0,5819,339.406973
-1780.0,1781,340.898152
-2770.0,2771,342.849408
-8626.0,8627,350.220944
-14484.0,14485,361.654523
-20488.0,20489,377.835386
-630.0,631,378.126699
-2578.0,2579,379.983509
-3606.0,3607,383.012499
-12414.0,12415,392.838195
-2600.0,2601,394.724336
-3480.0,3481,397.701285
-140.0,141,397.766911
-1630.0,1631,399.203144
-1360.0,1361,400.513906
-2542.0,2543,402.377583
-6888.0,6889,407.607422
-8948.0,8949,415.169074
-13070.0,13071,425.268848
-2752.0,2753,427.211887
-7370.0,7371,433.293484
-2652.0,2653,435.189588
-5846.0,5847,439.906438
-3350.0,3351,442.796523
-3534.0,3535,445.097919
-1220.0,1221,446.339439
-8800.0,8801,453.093178
-3986.0,3987,456.267447
-28634.0,28635,478.913359
-3820.0,3821,482.025751
-7630.0,7631,488.269593
-152.0,153,488.340939
-758.0,759,488.692004
-6106.0,6107,493.535292
-12280.0,12281,503.234116
-590.0,591,503.506194
-9688.0,9689,511.3378
