#{"t_start": 1731547601.5709772, "env_id": "None"}
r,l,t
-292.0,293,1.756278
-61396.0,61397,113.896297
-16128.0,16129,141.643626
-28804.0,28805,195.548329
-17770.0,17771,226.776777
-17864.0,17865,259.821159
-16134.0,16135,289.408653
-5276.0,5277,297.931599
-54384.0,54385,398.470464
-914.0,915,399.397517
-12236.0,12237,421.605522
-178.0,179,421.786901
-3312.0,3313,428.298706
-2752.0,2753,432.661861
-30238.0,30239,488.336665
-1654.0,1655,491.607089
-8108.0,8109,506.267475
-12046.0,12047,528.252111
-13394.0,13395,551.645158
-4086.0,4087,558.982023
-3450.0,3451,565.660654
-2036.0,2037,569.317119
-35448.0,35449,633.549625
-100001.0,100001,817.150421
-10270.0,10271,835.824389
-2712.0,2713,841.81568
-11916.0,11917,862.08141
-41346.0,41347,939.396773
-56632.0,56633,1042.387089
-1824.0,1825,1045.852422
-38430.0,38431,1116.761657
-4854.0,4855,1124.915661
-3544.0,3545,1131.752598
-64870.0,64871,1252.029094
-100001.0,100001,1434.683599
-11230.0,11231,1456.123666
-29258.0,29259,1509.492282
-1048.0,1049,1512.183043
-6968.0,6969,1524.146957
-2796.0,2797,1530.227991
-324.0,325,1530.557189
-2892.0,2893,1535.104082
-4358.0,4359,1542.779496
-31376.0,31377,1601.629115
-10890.0,10891,1620.933653
-53298.0,53299,1718.6023
-37338.0,37339,1786.547625
-23700.0,23701,1830.582616
-25206.0,25207,1876.104705
-40058.0,40059,1949.211829
-100001.0,100001,2127.571246
-1374.0,1375,2130.52058
-8506.0,8507,2145.35692
-10712.0,10713,2163.988458
-20038.0,20039,2200.047681
-100001.0,100001,2380.074591
-100001.0,100001,2560.74506
-3702.0,3703,2567.627887
-42670.0,42671,2644.338294
-8834.0,8835,2659.481634
-10800.0,10801,2678.203755
-38698.0,38699,2747.565873
-83386.0,83387,2897.416014
-7046.0,7047,2909.144055
-40194.0,40195,2981.837274
-11656.0,11657,3001.559415
-100001.0,100001,3181.839541
-100001.0,100001,3362.256552
-74180.0,74181,3495.494343
-100001.0,100001,3675.83246
-20202.0,20203,3712.454499
-91132.0,91133,3877.097773
-100001.0,100001,4055.428545
-94042.0,94043,4224.100329
-22246.0,22247,4264.009627
-40798.0,40799,4337.247123
-2298.0,2299,4341.103992
-26498.0,26499,4388.497243
