#{"t_start": 1731535780.9625974, "env_id": "None"}
r,l,t
-5252.0,5253,5.055108
-1382.0,1383,6.406369
-2300.0,2301,8.186084
-912.0,913,8.613534
-2730.0,2731,11.297083
-2990.0,2991,13.407596
-4094.0,4095,16.733577
-7872.0,7873,23.237
-662.0,663,23.54672
-4926.0,4927,27.951496
-962.0,963,28.398936
-546.0,547,28.652334
-5188.0,5189,33.170159
-4088.0,4089,36.505887
-1170.0,1171,37.747385
-392.0,393,37.93011
-500.0,501,38.162738
-132.0,133,38.224589
-848.0,849,38.617974
-2130.0,2131,40.330918
-790.0,791,41.404037
-1268.0,1269,41.991671
-4452.0,4453,46.180421
-12534.0,12535,56.447234
-2522.0,2523,58.32546
-2048.0,2049,59.978688
-3798.0,3799,63.155215
-6342.0,6343,68.224622
-946.0,947,68.666053
-622.0,623,69.66265
-3406.0,3407,71.960263
-12310.0,12311,81.954411
-1502.0,1503,83.362349
-5264.0,5265,87.942479
-868.0,869,88.347935
-5744.0,5745,93.162971
-5872.0,5873,98.028072
-7936.0,7937,104.559496
-368.0,369,104.73249
-9868.0,9869,112.895773
-1108.0,1109,113.41121
-3252.0,3253,116.334216
-5656.0,5657,121.123006
-1202.0,1203,121.683973
-2276.0,2277,123.444768
-5004.0,5005,127.916377
-3260.0,3261,130.138677
-25752.0,25753,151.362505
-6850.0,6851,156.682892
-14138.0,14139,168.237378
-13648.0,13649,179.565117
-1276.0,1277,180.16199
-4226.0,4227,183.558747
-398.0,399,184.454282
-22766.0,22767,202.864988
-7438.0,7439,208.477224
-3766.0,3767,211.652121
-25764.0,25765,233.027665
-8198.0,8199,239.691319
-5448.0,5449,244.349968
-14528.0,14529,256.059586
-9628.0,9629,263.376375
-17052.0,17053,277.699889
-3378.0,3379,279.981394
-43812.0,43813,316.171997
-2996.0,2997,318.270733
-6372.0,6373,323.374464
-9718.0,9719,331.465383
-4574.0,4575,335.018036
-1562.0,1563,336.468443
-112.0,113,336.520938
-1272.0,1273,337.819717
-4722.0,4723,341.453867
-12406.0,12407,351.511257
-11852.0,11853,361.303974
-3296.0,3297,363.55383
-70.0,71,363.586897
-9742.0,9743,371.69418
-1920.0,1921,373.303366
-6006.0,6007,378.254318
-13220.0,13221,389.57936
-14766.0,14767,401.442266
-7556.0,7557,407.101856
-20890.0,20891,424.70934
-8632.0,8633,431.588135
-650.0,651,431.891002
-6282.0,6283,436.947407
-4742.0,4743,441.28474
-6150.0,6151,446.277017
-6698.0,6699,451.51775
-3728.0,3729,454.707436
-3304.0,3305,456.965633
-7044.0,7045,463.110721
-1840.0,1841,464.67671
-3432.0,3433,467.223619
-190.0,191,467.312684
-2804.0,2805,470.078388
-2860.0,2861,472.134996
-982.0,983,473.304083
-250.0,251,473.421806
-550.0,551,473.68171
-1484.0,1485,475.095645
-10726.0,10727,483.62855
-6076.0,6077,488.598861
-1302.0,1303,489.919877
-3274.0,3275,492.157022
-20850.0,20851,509.140398
-502.0,503,510.103206
-5214.0,5215,513.990914
-1654.0,1655,515.497196
-7132.0,7133,521.026149
-8058.0,8059,527.713341
-2142.0,2143,529.446128
-684.0,685,530.484308
-7178.0,7179,536.02431
-1906.0,1907,537.659206
-664.0,665,538.700407
-10702.0,10703,547.354054
-1058.0,1059,547.850383
-4098.0,4099,551.258869
-1762.0,1763,552.815574
-7992.0,7993,559.493605
-1090.0,1091,560.723629
-10540.0,10541,569.269469
-12448.0,12449,579.459516
-1846.0,1847,581.064877
-2044.0,2045,582.75352
-116.0,117,582.80851
-4618.0,4619,586.421552
-324.0,325,586.574678
-1904.0,1905,588.193914
-2018.0,2019,589.870902
-1178.0,1179,591.164647
-1684.0,1685,591.955971
-68.0,69,592.719278
-15888.0,15889,605.237848
-2400.0,2401,607.091018
-2686.0,2687,609.806762
-560.0,561,610.066943
-1248.0,1249,611.377904
-474.0,475,611.598367
-1450.0,1451,613.006128
-2232.0,2233,614.765414
-2142.0,2143,616.486752
-8034.0,8035,623.158023
-12170.0,12171,633.25736
-2794.0,2795,635.300819
-522.0,523,635.546298
-6434.0,6435,640.757157
-9936.0,9937,649.073407
-9444.0,9445,657.153694
-4988.0,4989,660.969186
-950.0,951,662.146007
-6364.0,6365,667.326861
-2668.0,2669,669.310419
-674.0,675,669.626079
-17422.0,17423,684.712152
-2224.0,2225,686.564301
-2446.0,2447,688.525053
-838.0,839,689.730528
-1882.0,1883,691.418218
-2114.0,2115,693.23846
-10302.0,10303,702.095607
