#{"t_start": 1731542442.8481493, "env_id": "None"}
r,l,t
-3716.0,3717,6.864066
-2510.0,2511,12.570983
-32258.0,32259,70.421837
-13656.0,13657,96.33329
-12834.0,12835,119.275297
-14430.0,14431,145.606155
-1672.0,1673,148.922949
-23292.0,23293,191.091777
-48476.0,48477,281.240762
-4120.0,4121,288.619922
-3970.0,3971,295.91156
-28548.0,28549,348.617649
-5580.0,5581,359.167161
-608.0,609,359.788592
-9412.0,9413,377.593971
-4196.0,4197,385.056491
-244.0,245,385.306057
-26410.0,26411,434.182714
-1670.0,1671,437.496307
-920.0,921,438.433089
-1076.0,1077,441.124937
-13238.0,13239,464.477763
-16482.0,16483,494.531654
-1498.0,1499,497.667318
-1204.0,1205,498.890893
-20432.0,20433,536.414002
-19190.0,19191,572.701537
-73274.0,73275,706.732781
-1680.0,1681,710.052185
-1832.0,1833,713.505903
-2770.0,2771,719.542403
-4302.0,4303,727.13696
-13186.0,13187,750.724865
-13420.0,13421,776.182
-13056.0,13057,799.510759
-2252.0,2253,803.427381
-5614.0,5615,814.056118
-3552.0,3553,820.968032
-8546.0,8547,836.36631
-6166.0,6167,847.60395
-764.0,765,848.386587
-9150.0,9151,866.145473
-13632.0,13633,890.163412
-2370.0,2371,894.236454
-31656.0,31657,954.278572
-1064.0,1065,955.370856
-16610.0,16611,987.728806
-13728.0,13729,1011.969767
-31738.0,31739,1071.959991
-5388.0,5389,1080.908166
-48.0,49,1080.958522
-8910.0,8911,1098.693142
-25514.0,25515,1145.188745
-6376.0,6377,1156.653832
-2140.0,2141,1160.497674
-14246.0,14247,1186.913152
-6174.0,6175,1198.248643
-19112.0,19113,1234.873689
-5742.0,5743,1244.085873
-20236.0,20237,1282.002827
-1302.0,1303,1285.005262
-10692.0,10693,1304.384695
-9614.0,9615,1322.618477
-5868.0,5869,1333.611968
-9240.0,9241,1349.779068
-6274.0,6275,1361.182288
-4258.0,4259,1368.842934
-13452.0,13453,1394.462177
-2224.0,2225,1398.381119
-52.0,53,1398.435617
-5322.0,5323,1408.938408
-938.0,939,1409.896417
-11606.0,11607,1432.01299
-10370.0,10371,1450.913072
-9798.0,9799,1469.317702
-608.0,609,1469.937114
-21316.0,21317,1508.715416
-9608.0,9609,1527.011555
-39070.0,39071,1599.784138
-11876.0,11877,1622.096652
-18320.0,18321,1655.990616
-16684.0,16685,1686.401066
-4370.0,4371,1694.128469
-1396.0,1397,1697.18277
-45354.0,45355,1780.851655
