#{"t_start": 1731880275.5436113, "env_id": "None"}
r,l,t
-92636.0,92637,72.75342
-100001.0,100001,150.321342
-100001.0,100001,227.446867
-100001.0,100001,305.565417
-91290.0,91291,376.271123
-47218.0,47219,412.608244
-100001.0,100001,489.96499
-13018.0,13019,499.679454
-30088.0,30089,522.907451
-10836.0,10837,531.060578
-11818.0,11819,540.452216
-19600.0,19601,555.807773
-100001.0,100001,636.816367
-100001.0,100001,718.229028
-100001.0,100001,800.052619
-74400.0,74401,860.459526
-100001.0,100001,943.77176
-100001.0,100001,1027.063565
-100001.0,100001,1110.566962
-15734.0,15735,1123.28261
-100001.0,100001,1206.946289
-100001.0,100001,1291.134273
-100001.0,100001,1375.50954
-60960.0,60961,1428.530461
-100001.0,100001,1515.74853
-100001.0,100001,1603.55077
-1068.0,1069,1604.89502
-75410.0,75411,1671.154581
-100001.0,100001,1757.862996
-63256.0,63257,1813.260119
-100001.0,100001,1900.888825
-100001.0,100001,1988.609304
-84686.0,84687,2062.474872
-5996.0,5997,2067.749546
-100001.0,100001,2155.39312
-20796.0,20797,2173.406915
-100001.0,100001,2261.277254
-55718.0,55719,2310.444375
-26200.0,26201,2333.731161
-7078.0,7079,2340.429613
-4096.0,4097,2343.998284
-25764.0,25765,2366.134212
-100001.0,100001,2454.459522
-54590.0,54591,2502.294849
-24566.0,24567,2523.601732
-100001.0,100001,2610.378445
-100001.0,100001,2698.308867
-100001.0,100001,2786.217357
-5262.0,5263,2791.186146
-23486.0,23487,2811.418362
-25620.0,25621,2834.307233
-20670.0,20671,2852.373119
-196.0,197,2852.471797
-69454.0,69455,2911.725598
-17620.0,17621,2925.932602
-54362.0,54363,2971.893312
-100001.0,100001,3056.062289
-74522.0,74523,3119.10267
-3382.0,3383,3122.325799
-94442.0,94443,3206.90209
-99562.0,99563,3290.845467
-100001.0,100001,3376.899933
-770.0,771,3378.024719
-100001.0,100001,3462.074041
-7682.0,7683,3468.961644
-100001.0,100001,3559.42628
-100001.0,100001,3649.238871
-100001.0,100001,3734.068811
-100001.0,100001,3819.241009
-38488.0,38489,3851.606231
-100001.0,100001,3941.745962
-100001.0,100001,4031.278222
-28308.0,28309,4056.72471
-56768.0,56769,4106.150722
-100001.0,100001,4189.1881
-50596.0,50597,4231.74817
-100001.0,100001,4314.490767
-100001.0,100001,4397.28352
-100001.0,100001,4480.122209
-29798.0,29799,4504.462724
-41918.0,41919,4540.252022
-100001.0,100001,4625.793685
-43608.0,43609,4664.989948
-100001.0,100001,4755.84133
-96172.0,96173,4842.260471
-11948.0,11949,4852.06738
-100001.0,100001,4935.634707
-52560.0,52561,4980.420837
-68684.0,68685,5038.091075
-100001.0,100001,5126.853284
-17950.0,17951,5143.032417
-100001.0,100001,5234.872318
-54764.0,54765,5280.426963
-4772.0,4773,5284.098377
-29636.0,29637,5308.008503
-61380.0,61381,5362.987828
-100001.0,100001,5450.924005
-100001.0,100001,5539.524458
-100001.0,100001,5629.154145
-100001.0,100001,5716.390783
-45928.0,45929,5755.1145
-100001.0,100001,5840.341658
-70158.0,70159,5899.821207
-5996.0,5997,5904.988982
-27650.0,27651,5928.957659
-83466.0,83467,6003.304453
-15382.0,15383,6017.690699
-100001.0,100001,6108.326391
-52070.0,52071,6154.856174
-75304.0,75305,6221.377396
-42992.0,42993,6259.480555
-482.0,483,6259.706058
-100001.0,100001,6347.891536
-100001.0,100001,6436.065992
-100001.0,100001,6524.412707
-20130.0,20131,6541.557419
-100001.0,100001,6630.320201
-100001.0,100001,6719.138638
-100001.0,100001,6801.693832
-35952.0,35953,6830.800535
-73896.0,73897,6892.255367
-100001.0,100001,6973.918863
-100001.0,100001,7056.447937
-100001.0,100001,7138.803244
-100001.0,100001,7221.013017
-56498.0,56499,7266.925931
-100001.0,100001,7348.288291
-100001.0,100001,7427.277658
-45114.0,45115,7462.63361
-28582.0,28583,7485.166684
-15586.0,15587,7497.864062
-42942.0,42943,7531.702634
-100001.0,100001,7609.156447
-20668.0,20669,7625.899715
-36794.0,36795,7654.836262
-7964.0,7965,7660.511919
-22294.0,22295,7678.18798
-38112.0,38113,7708.462516
-20230.0,20231,7724.474989
-100001.0,100001,7803.591679
-100001.0,100001,7882.065793
-100001.0,100001,7961.252207
-50080.0,50081,8001.245393
-100001.0,100001,8080.686044
-8898.0,8899,8087.495431
-100001.0,100001,8165.188256
-100001.0,100001,8243.761672
-52088.0,52089,8284.354312
-19818.0,19819,8300.235392
-29630.0,29631,8323.322508
-81162.0,81163,8387.427994
