#{"t_start": 1732625224.6855574, "env_id": "None"}
r,l,t
-3940.0,3941,5.612701
-1682.0,1683,8.051393
-722.0,723,9.840379
-2562.0,2563,12.982129
-1170.0,1171,13.868574
-2042.0,2043,16.581322
-62.0,63,16.62843
-11938.0,11939,32.849356
-5816.0,5817,40.655314
-216.0,217,40.822538
-6694.0,6695,49.271823
-984.0,985,51.157381
-38.0,39,51.186846
-10092.0,10093,64.671146
-3094.0,3095,68.143481
-22278.0,22279,98.24009
-23194.0,23195,130.250648
-40378.0,40379,183.866148
-818.0,819,185.619333
-100001.0,100001,321.04897
-100001.0,100001,457.163822
-18192.0,18193,482.124522
-40676.0,40677,538.010195
-86958.0,86959,658.181713
-100001.0,100001,794.161544
-6530.0,6531,803.868401
-3856.0,3857,809.090297
-23952.0,23953,840.585322
-1696.0,1697,843.028785
-148.0,149,843.140581
-36036.0,36037,892.373871
-24334.0,24335,925.367688
-3046.0,3047,928.798242
-16504.0,16505,950.734249
-4020.0,4021,956.02017
-7742.0,7743,966.475829
-15614.0,15615,987.610167
-7204.0,7205,996.431326
-2832.0,2833,999.683878
-17978.0,17979,1023.918312
-9736.0,9737,1037.096186
-6428.0,6429,1045.334547
-16988.0,16989,1067.460691
-21658.0,21659,1096.691349
-5180.0,5181,1102.820499
-5072.0,5073,1110.078902
-1996.0,1997,1112.715058
-7890.0,7891,1123.281931
-13682.0,13683,1140.581083
-22366.0,22367,1170.370574
-586.0,587,1171.964148
-7542.0,7543,1180.974469
-7926.0,7927,1191.536386
-34362.0,34363,1237.562577
-7714.0,7715,1248.038245
-550.0,551,1248.43977
-1158.0,1159,1250.455797
-3704.0,3705,1254.334444
-1380.0,1381,1256.518977
-1814.0,1815,1259.014356
-3314.0,3315,1263.78146
-7592.0,7593,1272.871842
-234.0,235,1273.04335
-3962.0,3963,1278.283309
-234.0,235,1278.457686
-2706.0,2707,1282.781208
-548.0,549,1283.186406
-9360.0,9361,1296.063583
-1714.0,1715,1297.320412
-6420.0,6421,1306.826467
-486.0,487,1307.186095
-1392.0,1393,1309.37686
-3062.0,3063,1312.789558
-336.0,337,1313.039749
-4910.0,4911,1320.181157
-644.0,645,1320.650594
-1122.0,1123,1321.471416
-1988.0,1989,1324.105382
-266.0,267,1325.47861
-548.0,549,1325.878263
-964.0,965,1326.584329
-614.0,615,1328.206908
-336.0,337,1328.451973
-978.0,979,1329.167575
-316.0,317,1329.397969
-534.0,535,1330.958675
-5654.0,5655,1337.444342
-866.0,867,1339.253836
-828.0,829,1339.862411
-1340.0,1341,1342.022492
-366.0,367,1342.289561
-1028.0,1029,1344.215827
-434.0,435,1344.532886
